"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Kentucky","SEC (East)","","28","5","87.4","","","","9.65","","19.08","9.21","28.28","","",""
"2","UCLA","Pac-10","","31","2","87.5","","","","10.08","","16.46","7.28","23.74","","",""
"3","North Carolina","ACC","","28","6","84.4","","","","13.01","","17.22","6.23","23.45","","",""
"4","Massachusetts","A-10","","29","5","80.9","","","","8.03","","12.66","10.48","23.15","","",""
"5","Maryland","ACC","","26","8","86.6","","","","10.36","","17.41","5.47","22.88","","",""
"6","Kansas","Big 8","","25","6","83.0","","","","10.02","","14.11","8.04","22.16","","",""
"7","Oklahoma State","Big 8","","27","10","77.3","","","","10.27","","6.97","14.75","21.72","","",""
"8","Virginia","ACC","","25","9","77.4","","","","9.94","","7.18","13.38","20.56","","",""
"9","Wake Forest","ACC","","26","6","71.4","","","","10.83","","3.24","15.90","19.15","","",""
"10","Arizona","Pac-10","","23","8","84.9","","","","10.40","","14.43","4.70","19.13","","",""
"11","Connecticut","Big East","","28","5","86.0","","","","7.41","","15.91","3.08","18.99","","",""
"12","Cincinnati","GMWC","","22","12","81.0","","","","8.93","","12.73","5.61","18.34","","",""
"13","Michigan State","Big Ten","","22","6","78.4","","","","7.88","","9.42","8.18","17.60","","",""
"14","Mississippi State","SEC (West)","","22","8","73.4","","","","8.53","","3.58","13.75","17.33","","",""
"15","Saint Louis","GMWC","","23","8","75.8","","","","4.00","","4.54","12.69","17.23","","",""
"16","Arkansas","SEC (West)","","32","7","87.6","","","","10.45","","17.87","-1.02","16.85","","",""
"17","Arizona State","Pac-10","","24","9","78.3","","","","9.06","","7.50","9.25","16.75","","",""
"18","Iowa State","Big 8","","23","11","76.7","","","","9.70","","5.35","11.22","16.57","","",""
"19","Utah","WAC","","28","6","77.6","","","","4.96","","7.23","9.17","16.40","","",""
"20","Villanova","Big East","","25","8","78.4","","","","7.98","","8.18","7.92","16.10","","",""
"21","Iowa","Big Ten","","21","12","83.5","","","","6.86","","14.14","1.88","16.02","","",""
"22","Duke","ACC","","13","18","77.7","","","","11.89","","10.75","5.20","15.95","","",""
"23","Texas","SWC","","23","7","92.9","","","","3.74","","18.81","-3.00","15.81","","",""
"24","Alabama","SEC (West)","","23","10","73.0","","","","6.59","","1.36","14.11","15.47","","",""
"25","Florida","SEC (East)","","17","13","72.6","","","","11.31","","4.80","10.54","15.34","","",""
"26","Oklahoma","Big 8","","23","9","81.7","","","","7.12","","10.17","5.04","15.21","","",""
"27","Syracuse","Big East","","20","10","82.4","","","","7.20","","11.29","3.81","15.10","","",""
"28","Georgia Tech","ACC","","18","12","80.0","","","","9.04","","11.07","3.84","14.91","","",""
"29","Indiana","Big Ten","","19","12","75.6","","","","9.05","","6.62","8.23","14.85","","",""
"30","Oregon","Pac-10","","19","9","85.2","","","","10.69","","15.34","-0.65","14.69","","",""
"31","Memphis","GMWC","","24","10","79.4","","","","5.78","","8.43","5.94","14.37","","",""
"32","Georgia","SEC (East)","","18","10","77.7","","","","5.96","","7.23","6.99","14.21","","",""
"33","DePaul","GMWC","","17","11","79.2","","","","6.05","","9.00","5.06","14.05","","",""
"34","Minnesota","Big Ten","","19","13","73.8","","","","6.27","","5.54","8.34","13.88","","",""
"35","Virginia Tech","Metro","","25","10","75.4","","","","5.40","","4.72","8.89","13.60","","",""
"36","Evansville","MVC","","18","9","77.0","","","","-0.26","","3.75","9.66","13.41","","",""
"37","Purdue","Big Ten","","25","7","76.4","","","","5.72","","6.59","6.79","13.37","","",""
"38","Washington State","Pac-10","","18","12","83.5","","","","8.70","","11.01","2.16","13.17","","",""
"39","Stanford","Pac-10","","20","9","79.0","","","","7.32","","7.19","5.96","13.15","","",""
"40","Florida State","ACC","","12","15","75.1","","","","12.50","","8.29","4.73","13.01","","",""
"41","North Carolina State","ACC","","12","15","76.2","","","","8.50","","6.42","6.45","12.87","","",""
"42","Tulsa","MVC","","24","8","74.8","","","","4.66","","3.93","8.45","12.38","","",""
"43","Temple","A-10","","19","11","62.7","","","","9.18","","-7.57","19.72","12.15","","",""
"44","Texas Tech","SWC","","20","10","88.8","","","","1.97","","11.32","0.69","12.01","","",""
"45","Missouri","Big 8","","20","9","77.0","","","","8.35","","7.22","4.76","11.97","","",""
"46","Marquette","GMWC","","21","12","70.9","","","","5.78","","1.18","10.78","11.96","","",""
"47","Illinois","Big Ten","","19","12","73.1","","","","7.68","","2.94","9.01","11.95","","",""
"48","Penn State","Big Ten","","21","11","71.3","","","","5.01","","1.05","10.81","11.85","","",""
"49","Montana State","Big Sky","","21","8","84.2","","","","0.98","","8.57","3.25","11.82","","",""
"50","Brigham Young","WAC","","22","10","75.2","","","","5.71","","5.74","5.91","11.65","","",""
"51","Louisville","Metro","","19","14","76.4","","","","7.82","","6.74","4.87","11.60","","",""
"52","Georgetown","Big East","","21","10","75.5","","","","6.41","","2.50","8.84","11.34","","",""
"53","Nebraska","Big 8","","18","14","78.4","","","","6.80","","8.57","2.64","11.21","","",""
"54","Ohio","MAC","","24","10","77.9","","","","3.59","","6.18","4.98","11.16","","",""
"55","University of California","Pac-10","","13","14","79.9","","","","8.96","","9.29","1.75","11.04","","",""
"56","Vanderbilt","SEC (East)","","13","15","73.0","","","","8.32","","4.29","6.61","10.89","","",""
"57","Xavier","MW Coll","","23","5","83.9","","","","-0.89","","9.90","0.54","10.45","","",""
"58","Clemson","ACC","","15","13","64.1","","","","8.70","","-6.06","16.37","10.30","","",""
"59","New Mexico State","Big West","","25","10","85.6","","","","3.56","","13.01","-2.72","10.29","","",""
"60","Miami (OH)","MAC","","23","7","70.6","","","","0.82","","-2.82","12.88","10.06","","",""
"61","Santa Clara","WCC","","21","7","76.3","","","","1.98","","3.56","6.35","9.91","","",""
"62","Utah State","Big West","","21","8","78.7","","","","1.49","","4.24","5.59","9.82","","",""
"63","Tulane","Metro","","23","10","77.2","","","","4.21","","5.97","3.85","9.81","","",""
"64","Michigan","Big Ten","","17","14","70.6","","","","8.90","","1.17","8.60","9.77","","",""
"65","Saint Joseph's","A-10","","17","12","71.0","","","","7.17","","2.39","7.30","9.69","","",""
"66","Texas-El Paso","WAC","","20","10","77.9","","","","5.97","","6.56","3.11","9.67","","",""
"67","St. Bonaventure","A-10","","18","13","72.8","","","","4.76","","1.83","7.54","9.36","","",""
