"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Arkansas","SEC (West)","","31","3","93.4","","","","7.55","","20.17","3.71","23.88","","",""
"2","Arizona","Pac-10","","29","6","89.3","","","","8.84","","19.74","3.96","23.70","","",""
"3","Connecticut","Big East","","29","5","84.9","","","","6.31","","13.65","8.98","22.63","","",""
"4","North Carolina","ACC","","28","7","85.6","","","","9.36","","16.86","5.72","22.59","","",""
"5","Kentucky","SEC (East)","","27","7","86.8","","","","9.41","","15.42","6.14","21.56","","",""
"6","Purdue","Big Ten","","29","5","84.4","","","","9.90","","14.22","7.06","21.28","","",""
"7","Kansas","Big 8","","27","8","80.5","","","","8.60","","9.96","10.73","20.69","","",""
"8","Providence","Big East","","20","10","79.3","","","","9.95","","11.30","7.98","19.28","","",""
"9","Duke","ACC","","28","6","77.6","","","","8.92","","8.82","10.39","19.21","","",""
"10","Minnesota","Big Ten","","22","13","74.3","","","","10.14","","8.80","10.35","19.14","","",""
"11","Illinois","Big Ten","","17","11","84.0","","","","9.75","","12.90","6.07","18.96","","",""
"12","Louisville","Metro","","28","6","80.2","","","","7.35","","9.70","9.01","18.71","","",""
"13","Syracuse","Big East","","23","7","83.9","","","","8.86","","15.06","2.87","17.93","","",""
"14","Michigan","Big Ten","","24","8","79.4","","","","12.04","","9.58","8.33","17.91","","",""
"15","Oklahoma State","Big 8","","24","10","80.5","","","","8.37","","7.31","10.34","17.65","","",""
"16","Georgetown","Big East","","19","12","73.0","","","","12.07","","2.24","15.18","17.42","","",""
"17","Temple","A-10","","23","8","63.8","","","","8.34","","-5.65","23.02","17.37","","",""
"18","Boston College","Big East","","23","11","78.2","","","","9.83","","7.65","9.15","16.80","","",""
"19","Massachusetts","A-10","","28","7","76.4","","","","6.30","","5.15","11.64","16.78","","",""
"20","UCLA","Pac-10","","21","7","86.1","","","","6.70","","14.13","2.11","16.24","","",""
"21","Florida","SEC (East)","","29","8","75.1","","","","9.01","","3.99","12.12","16.11","","",""
"22","Indiana","Big Ten","","21","9","80.9","","","","12.05","","11.87","4.05","15.92","","",""
"23","Michigan State","Big Ten","","20","12","75.8","","","","10.70","","5.03","10.64","15.67","","",""
"24","Missouri","Big 8","","28","4","81.0","","","","8.26","","9.47","6.18","15.65","","",""
"25","Marquette","GMWC","","24","9","69.6","","","","8.02","","-1.45","17.09","15.64","","",""
"26","Cincinnati","GMWC","","22","10","77.7","","","","6.18","","7.71","7.60","15.30","","",""
"27","Wisconsin","Big Ten","","18","11","77.9","","","","9.86","","7.27","7.73","15.00","","",""
"28","Alabama-Birmingham","GMWC","","22","8","71.4","","","","3.51","","-1.25","15.96","14.71","","",""
"29","Texas","SWC","","26","8","91.7","","","","3.00","","16.88","-2.29","14.59","","",""
"30","University of California","Pac-10","","22","8","78.6","","","","7.14","","8.18","6.05","14.24","","",""
"31","Maryland","ACC","","18","12","80.0","","","","7.34","","10.04","4.03","14.07","","",""
"32","Iowa State","Big 8","","14","13","85.1","","","","6.16","","10.63","3.38","14.01","","",""
"33","Wake Forest","ACC","","21","12","71.3","","","","7.84","","0.87","13.01","13.87","","",""
"34","Seton Hall","Big East","","17","13","68.6","","","","10.77","","-0.31","13.98","13.67","","",""
"35","Nebraska","Big 8","","20","10","87.3","","","","6.84","","15.11","-1.57","13.54","","",""
"36","Vanderbilt","SEC (East)","","20","12","78.8","","","","8.18","","8.06","5.37","13.43","","",""
"37","Washington State","Pac-10","","20","11","76.0","","","","7.63","","4.91","8.51","13.43","","",""
"38","Pittsburgh","Big East","","13","14","78.0","","","","9.95","","9.40","3.48","12.88","","",""
"39","Villanova","Big East","","20","12","74.5","","","","11.26","","6.21","6.65","12.86","","",""
"40","Saint Louis","GMWC","","23","6","80.6","","","","3.13","","8.18","4.59","12.78","","",""
"41","Ohio","MAC","","25","8","80.8","","","","0.23","","7.96","3.57","11.52","","",""
"42","Georgia Tech","ACC","","16","13","75.9","","","","9.03","","6.63","4.81","11.44","","",""
"43","Iowa","Big Ten","","11","16","83.5","","","","9.68","","12.95","-1.54","11.42","","",""
"44","Ohio State","Big Ten","","13","16","76.7","","","","11.59","","6.11","5.19","11.30","","",""
"45","DePaul","GMWC","","16","12","78.4","","","","5.84","","7.44","3.58","11.02","","",""
"46","Tulsa","MVC","","23","8","83.4","","","","2.47","","8.81","2.09","10.90","","",""
"47","Northwestern","Big Ten","","15","14","75.0","","","","8.90","","3.18","7.62","10.80","","",""
"48","Stanford","Pac-10","","17","11","74.7","","","","7.64","","4.90","5.82","10.72","","",""
"49","Mississippi State","SEC (West)","","18","11","75.3","","","","7.38","","1.81","8.85","10.66","","",""
"50","Tulane","Metro","","18","11","78.9","","","","2.23","","5.83","4.82","10.64","","",""
"51","Georgia","SEC (East)","","14","16","79.9","","","","7.46","","7.62","2.84","10.46","","",""
"52","Alabama","SEC (West)","","20","10","73.6","","","","6.06","","0.49","9.70","10.19","","",""
"53","Virginia Tech","Metro","","18","10","72.4","","","","3.47","","0.20","9.63","9.83","","",""
"54","Green Bay","Mid-Cont","","27","7","66.4","","","","-1.88","","-9.48","19.28","9.80","","",""
"55","Oklahoma","Big 8","","15","13","87.4","","","","8.99","","15.48","-5.89","9.59","","",""
"56","Virginia","ACC","","18","13","64.1","","","","11.19","","-5.52","15.10","9.58","","",""
"57","Arizona State","Pac-10","","15","13","77.1","","","","7.80","","5.58","3.97","9.55","","",""
"58","New Mexico","WAC","","23","8","77.7","","","","0.93","","3.31","6.24","9.55","","",""
"59","St. John's (NY)","Big East","","12","17","73.3","","","","8.53","","3.87","5.59","9.46","","",""
"60","Florida State","ACC","","13","14","77.0","","","","7.22","","6.60","2.78","9.37","","",""
"61","Xavier","MW Coll","","22","8","79.7","","","","0.87","","5.62","3.73","9.35","","",""
"62","George Washington","A-10","","18","12","69.3","","","","6.38","","-0.46","9.74","9.28","","",""
"63","Pepperdine","WCC","","19","11","72.5","","","","2.62","","-3.65","12.88","9.23","","",""
"64","West Virginia","A-10","","17","12","77.9","","","","5.18","","7.71","1.50","9.21","","",""
"65","Clemson","ACC","","18","16","75.2","","","","6.82","","4.02","5.15","9.17","","",""
"66","Southern Mississippi","Metro","","15","15","76.9","","","","5.61","","5.65","3.03","8.67","","",""
"67","Kansas State","Big 8","","20","14","70.8","","","","6.53","","-2.01","10.59","8.58","","",""
"68","Charlotte","Metro","","16","13","69.6","","","","5.88","","-0.97","9.12","8.15","","",""
"69","Western Kentucky","Sun Belt","","20","11","77.5","","","","1.72","","3.05","5.08","8.12","","",""
"70","Auburn","SEC (West)","","11","17","81.7","","","","7.17","","9.45","-1.50","7.95","","",""
"71","Gonzaga","WCC","","22","8","81.6","","","","0.13","","5.49","2.38","7.88","","",""
"72","Brigham Young","WAC","","22","10","79.4","","","","3.52","","5.68","1.90","7.58","","",""
"73","Louisiana State","SEC (West)","","11","16","80.0","","","","8.47","","7.94","-0.73","7.21","","",""
"74","Southern Illinois","MVC","","23","7","79.0","","","","0.37","","5.40","1.69","7.09","","",""
"75","Penn State","Big Ten","","13","14","70.9","","","","8.00","","-1.21","8.28","7.08","","",""
"76","Virginia Commonwealth","Metro","","14","13","77.9","","","","5.85","","6.10","0.97","7.07","","",""
"77","Siena","MAAC","","25","8","80.3","","","","-1.96","","5.09","1.64","6.74","","",""
"78","Old Dominion","CAA","","21","10","83.7","","","","-2.60","","7.56","-1.19","6.37","","",""
"79","Duquesne","A-10","","17","13","72.0","","","","5.75","","2.11","4.25","6.35","","",""
"80","New Mexico State","Big West","","23","8","80.6","","","","-0.60","","3.62","2.64","6.26","","",""
"81","Miami (OH)","MAC","","19","11","76.4","","","","0.56","","2.31","3.84","6.14","","",""
"82","San Francisco","WCC","","17","11","88.9","","","","1.28","","15.47","-9.38","6.09","","",""
"83","Pennsylvania","Ivy","","25","3","76.4","","","","-5.12","","1.42","4.54","5.95","","",""
"84","Evansville","MW Coll","","21","11","76.6","","","","-1.57","","-0.18","6.05","5.87","","",""
"85","Louisiana-Lafayette","Sun Belt","","22","8","75.5","","","","-1.02","","4.54","1.16","5.70","","",""
"86","Manhattan","MAAC","","20","10","75.4","","","","-3.14","","-0.54","6.07","5.53","","",""
"87","Santa Clara","WCC","","13","14","73.2","","","","3.31","","-4.36","9.83","5.47","","",""
"88","Memphis","GMWC","","13","16","72.1","","","","5.93","","0.62","4.79","5.41","","",""
"89","Fresno State","WAC","","21","11","75.4","","","","3.00","","3.30","2.09","5.38","","",""
"90","Saint Joseph's","A-10","","14","14","72.8","","","","4.36","","2.22","2.89","5.11","","",""
"91","Notre Dame","Ind","","12","17","71.7","","","","7.26","","-0.95","5.81","4.87","","",""
"92","New Orleans","Sun Belt","","20","10","71.0","","","","0.06","","-4.04","8.79","4.75","","",""
"93","Weber State","Big Sky","","20","10","84.6","","","","2.09","","9.18","-4.44","4.74","","",""
"94","Colorado State","WAC","","15","13","76.9","","","","2.09","","1.86","2.73","4.59","","",""
"95","College of Charleston","A-Sun","","24","4","76.7","","","","-5.76","","-1.52","6.06","4.54","","",""
"96","Southern California","Pac-10","","16","12","72.5","","","","4.52","","-0.29","4.73","4.45","","",""
"97","South Carolina","SEC (East)","","9","19","73.8","","","","8.39","","3.28","0.87","4.14","","",""
"98","San Diego","WCC","","18","11","77.0","","","","1.83","","1.66","2.47","4.13","","",""
"99","Bowling Green State","MAC","","18","10","72.6","","","","0.08","","-1.21","5.29","4.08","","",""
"100","Illinois State","MVC","","16","11","73.8","","","","0.68","","0.80","3.25","4.05","","",""
"101","Texas Tech","SWC","","17","11","83.4","","","","0.45","","8.87","-4.89","3.98","","",""
"102","Montana","Big Sky","","19","9","76.4","","","","-2.98","","0.08","3.82","3.90","","",""
"103","Texas A&M","SWC","","19","11","75.4","","","","1.14","","-0.29","4.13","3.84","","",""
"104","Rhode Island","A-10","","11","16","71.4","","","","5.55","","1.30","2.51","3.80","","",""
"105","Murray State","OVC","","23","6","90.0","","","","-4.89","","10.10","-6.34","3.77","","",""
"106","Utah","WAC","","14","14","75.0","","","","2.44","","-0.79","4.39","3.60","","",""
"107","Oregon","Pac-10","","10","17","76.1","","","","7.93","","4.52","-0.98","3.53","","",""
"108","Illinois-Chicago","Mid-Cont","","20","9","85.0","","","","-3.34","","10.16","-6.67","3.49","","",""
"109","Drexel","NAC","","25","5","76.5","","","","-6.17","","-2.37","5.68","3.31","","",""
"110","Princeton","Ivy","","18","8","64.0","","","","-6.28","","-13.61","16.83","3.22","","",""
"111","Mississippi","SEC (West)","","14","13","71.9","","","","7.80","","-1.15","4.28","3.13","","",""
"112","Northern Iowa","MVC","","16","13","75.0","","","","-0.06","","0.47","2.54","3.02","","",""
"113","Coppin State","MEAC","","22","8","75.9","","","","-7.09","","-2.81","5.68","2.88","","",""
"114","Canisius","MAAC","","22","7","79.5","","","","-3.59","","2.59","0.20","2.79","","",""
"115","Bradley","MVC","","23","8","69.0","","","","-1.15","","-6.66","9.30","2.65","","",""
"116","Wyoming","WAC","","14","14","70.1","","","","2.53","","-4.19","6.76","2.57","","",""
"117","Rice","SWC","","15","14","75.0","","","","1.20","","-1.58","3.92","2.34","","",""
"118","James Madison","CAA","","20","10","83.3","","","","-1.41","","7.21","-5.01","2.20","","",""
"119","Texas-El Paso","WAC","","18","12","72.1","","","","2.77","","-1.73","3.81","2.08","","",""
"120","Boise State","Big Sky","","17","13","72.5","","","","0.25","","-5.02","7.05","2.03","","",""
"121","Chattanooga","Southern","","23","7","81.7","","","","-1.77","","5.51","-3.53","1.98","","",""
"122","Pacific","Big West","","17","14","79.3","","","","-0.47","","4.11","-2.19","1.91","","",""
"123","San Jose State","Big West","","15","12","72.2","","","","0.80","","-2.89","4.54","1.65","","",""
"124","Hawaii","WAC","","18","15","72.0","","","","4.14","","0.17","1.45","1.62","","",""
"125","Richmond","CAA","","14","14","76.0","","","","-0.75","","-0.78","2.39","1.61","","",""
"126","Idaho","Big Sky","","18","10","72.7","","","","-1.31","","-3.61","5.14","1.53","","",""
"127","Butler","MW Coll","","16","13","74.7","","","","-0.03","","0.51","1.00","1.51","","",""
"128","North Carolina State","ACC","","11","19","69.1","","","","7.41","","-1.39","2.86","1.48","","",""
"129","Davidson","Southern","","22","8","76.5","","","","-2.91","","-0.98","2.43","1.45","","",""
"130","Ball State","MAC","","16","12","74.3","","","","-0.53","","1.05","0.23","1.28","","",""
"131","Tennessee","SEC (East)","","5","22","70.7","","","","7.62","","-0.94","2.12","1.17","","",""
"132","Idaho State","Big Sky","","18","9","82.5","","","","-1.31","","5.16","-4.01","1.15","","",""
"133","Rutgers","A-10","","11","16","67.8","","","","5.78","","-1.39","2.51","1.12","","",""
"134","Saint Mary's (CA)","WCC","","13","14","78.3","","","","1.78","","2.49","-1.43","1.06","","",""
"135","Nevada-Las Vegas","Big West","","15","13","77.9","","","","0.46","","2.91","-2.05","0.87","","",""
"136","Baylor","SWC","","16","11","85.5","","","","-0.99","","8.05","-7.27","0.79","","",""
"137","Toledo","MAC","","15","12","73.5","","","","-2.34","","-0.74","1.33","0.58","","",""
"138","Washington","Pac-10","","5","22","61.9","","","","8.79","","-9.68","10.25","0.57","","",""
