"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Duke","ACC","","31","6","79.8","65.0","14.81","","10.86","","15.77","9.90","25.67","","",""
"2","Connecticut","Big East","","33","6","78.8","63.9","14.87","","7.77","","14.17","8.47","22.64","","",""
"3","Oklahoma State","Big 12","","31","4","77.1","62.5","14.57","","7.23","","10.54","10.30","20.85","","",""
"4","Georgia Tech","ACC","","28","10","76.6","67.2","9.45","","11.21","","11.60","9.06","20.66","","",""
"5","Saint Joseph's","A-10 (East)","","30","2","77.4","62.3","15.06","","4.97","","11.01","9.03","20.03","","",""
"6","North Carolina","ACC","","19","11","82.1","74.8","7.37","","12.04","","18.51","0.89","19.40","","",""
"7","Wisconsin","Big Ten","","25","7","68.4","57.0","11.47","","7.49","","4.02","14.94","18.96","","",""
"8","Gonzaga","WCC","","28","3","81.8","66.2","15.61","","3.32","","13.83","5.10","18.94","","",""
"9","Kentucky","SEC (East)","","27","5","73.9","63.6","10.28","","8.55","","8.82","10.01","18.83","","",""
"10","Cincinnati","CUSA","","25","7","76.7","64.3","12.47","","6.28","","11.39","7.37","18.75","","",""
"11","Louisville","CUSA","","20","10","73.2","61.5","11.63","","6.97","","7.80","10.80","18.60","","",""
"12","Texas","Big 12","","25","8","76.6","66.5","10.12","","8.40","","10.46","8.06","18.52","","",""
"13","North Carolina State","ACC","","21","10","72.9","65.1","7.84","","10.61","","7.39","11.06","18.45","","",""
"14","Wake Forest","ACC","","21","10","83.5","76.1","7.42","","11.03","","19.39","-0.94","18.45","","",""
"15","Pittsburgh","Big East","","31","5","67.9","56.4","11.53","","6.49","","2.40","15.80","18.20","","",""
"16","Stanford","Pac-10","","30","2","73.6","60.5","13.13","","4.34","","4.91","12.56","17.46","","",""
"17","Kansas","Big 12","","24","9","75.8","67.2","8.64","","9.44","","11.12","5.98","17.10","","",""
"18","Maryland","ACC","","20","12","77.4","72.1","5.28","","11.68","","12.12","4.85","16.96","","",""
"19","Illinois","Big Ten","","26","7","72.8","62.9","9.85","","7.08","","8.42","8.51","16.93","","",""
