"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Kansas","Big 12","","30","8","82.7","66.9","15.79","","10.53","","16.06","8.94","25.00","","",""
"2","Arizona","Pac-10","","28","4","85.2","70.7","14.47","","8.95","","18.20","5.22","23.42","","",""
"3","Kentucky","SEC (East)","","32","4","77.3","64.1","13.14","","9.33","","11.98","10.49","22.47","","",""
"4","Pittsburgh","Big East (West)","","28","5","74.9","59.2","15.70","","5.79","","7.46","14.04","21.49","","",""
"5","Maryland","ACC","","21","10","79.7","66.7","13.00","","7.56","","13.93","6.62","20.56","","",""
"6","Duke","ACC","","26","7","81.1","69.6","11.48","","8.38","","14.87","4.99","19.86","","",""
"7","Illinois","Big Ten","","25","7","74.6","61.6","13.06","","6.76","","9.70","10.12","19.82","","",""
"8","Louisville","CUSA (American)","","25","7","81.6","68.7","12.97","","6.84","","17.19","2.62","19.81","","",""
"9","Syracuse","Big East (West)","","30","5","79.6","69.6","10.00","","9.02","","14.27","4.75","19.02","","",""
"10","Texas","Big 12","","26","7","79.3","69.7","9.64","","9.27","","14.31","4.60","18.91","","",""
"11","Oklahoma","Big 12","","27","7","70.4","60.0","10.32","","8.53","","5.03","13.83","18.86","","",""
"12","Florida","SEC (East)","","25","8","75.3","64.5","10.79","","7.76","","9.99","8.56","18.54","","",""
"13","Mississippi State","SEC (West)","","21","10","69.4","59.7","9.65","","8.00","","3.99","13.66","17.65","","",""
"14","Wisconsin","Big Ten","","24","8","70.3","59.3","10.97","","6.51","","3.91","13.56","17.48","","",""
"15","Notre Dame","Big East (West)","","24","10","79.2","71.3","7.88","","9.43","","13.64","3.67","17.32","","",""
"16","Georgia","SEC (East)","","19","8","79.2","73.2","6.00","","11.30","","14.89","2.42","17.30","","",""
"17","Wake Forest","ACC","","25","6","77.8","67.8","10.00","","6.96","","11.30","5.65","16.96","","",""
"18","Marquette","CUSA (American)","","27","6","78.5","69.5","9.00","","7.28","","12.30","3.98","16.28","","",""
"19","Michigan State","Big Ten","","22","13","67.6","61.2","6.40","","9.72","","2.60","13.52","16.12","","",""
"20","Louisiana State","SEC (West)","","21","11","72.7","63.4","9.25","","6.83","","7.58","8.50","16.08","","",""
"21","Xavier","A-10 (West)","","26","6","77.6","66.1","11.47","","4.61","","10.02","6.06","16.08","","",""
"22","Purdue","Big Ten","","19","11","71.9","65.3","6.53","","9.42","","7.99","7.96","15.95","","",""
"23","Connecticut","Big East (East)","","23","10","79.5","71.2","8.21","","7.63","","12.51","3.33","15.84","","",""
"24","Creighton","MVC","","29","5","79.1","64.8","14.29","","1.03","","10.68","4.65","15.33","","",""
"25","Arizona State","Pac-10","","20","12","77.0","70.5","6.47","","9.27","","9.79","5.22","15.01","","",""
"26","Missouri","Big 12","","22","11","72.4","67.7","4.73","","10.15","","7.73","7.15","14.87","","",""
"27","Texas Tech","Big 12","","22","13","72.7","66.1","6.51","","8.29","","6.87","7.93","14.80","","",""
"28","Oklahoma State","Big 12","","22","10","69.5","62.6","6.88","","8.46","","3.38","11.24","14.62","","",""
"29","Saint Joseph's","A-10 (East)","","23","7","70.4","59.5","10.90","","3.71","","2.32","12.29","14.61","","",""
"30","Oregon","Pac-10","","23","10","81.5","73.5","7.94","","6.11","","12.95","1.10","14.05","","",""
"31","Brigham Young","MWC","","23","9","71.8","63.5","8.34","","5.29","","4.21","9.42","13.63","","",""
"32","Alabama","SEC (West)","","17","12","69.0","65.1","3.97","","9.40","","5.23","8.13","13.36","","",""
"33","Stanford","Pac-10","","24","9","72.5","67.6","4.88","","8.37","","4.81","8.45","13.25","","",""
"34","Memphis","CUSA (National)","","23","7","74.4","66.4","7.97","","5.27","","7.76","5.47","13.23","","",""
"35","Cincinnati","CUSA (American)","","17","12","67.4","61.9","5.45","","7.45","","1.16","11.73","12.90","","",""
"36","Georgetown","Big East (West)","","19","15","76.0","69.4","6.59","","6.27","","9.23","3.63","12.86","","",""
"37","Colorado","Big 12","","20","12","75.2","70.3","4.81","","8.01","","9.09","3.73","12.82","","",""
"38","Auburn","SEC (West)","","22","12","70.8","65.7","5.09","","8.34","","5.01","7.66","12.68","","",""
"39","Indiana","Big Ten","","21","13","69.9","67.1","2.82","","9.81","","5.59","7.04","12.63","","",""
"40","Gonzaga","WCC","","24","9","77.5","69.1","8.45","","3.80","","9.79","2.47","12.26","","",""
"41","Georgia Tech","ACC","","16","15","74.1","69.8","4.26","","7.94","","7.77","4.43","12.20","","",""
"42","University of California","Pac-10","","22","9","74.2","70.0","4.19","","7.58","","6.10","5.68","11.77","","",""
"43","North Carolina State","ACC","","18","13","72.5","68.3","4.19","","7.57","","5.77","5.99","11.76","","",""
"44","Providence","Big East (East)","","18","14","71.4","67.6","3.81","","7.82","","5.09","6.55","11.64","","",""
"45","North Carolina","ACC","","19","16","72.1","71.2","0.91","","10.31","","6.54","4.68","11.22","","",""
"46","Dayton","A-10 (West)","","24","6","72.7","66.9","5.83","","5.17","","7.00","4.00","11.00","","",""
"47","Utah","MWC","","25","8","66.4","60.3","6.06","","5.25","","-0.92","11.92","11.00","","",""
"48","Tulsa","WAC","","23","10","73.4","65.3","8.12","","2.29","","4.69","5.72","10.41","","",""
"49","Boston College","Big East (East)","","19","12","79.4","76.4","3.06","","7.23","","13.22","-2.92","10.30","","",""
"50","Kansas State","Big 12","","13","17","69.6","66.2","3.47","","7.37","","4.15","5.98","10.13","","",""
"51","Tennessee","SEC (East)","","17","12","68.3","66.3","2.00","","7.88","","2.51","7.37","9.88","","",""
"52","Iowa State","Big 12","","17","14","70.5","66.2","4.35","","6.05","","2.95","6.87","9.82","","",""
"53","St. John's (NY)","Big East (East)","","21","13","71.1","68.8","2.35","","7.35","","2.85","6.86","9.71","","",""
"54","Seton Hall","Big East (West)","","17","13","67.6","66.2","1.47","","8.20","","1.35","8.31","9.66","","",""
"55","Michigan","Big Ten","","17","13","69.0","67.3","1.73","","7.89","","3.25","6.37","9.62","","",""
"56","Mississippi","SEC (West)","","14","15","66.7","63.7","3.00","","6.25","","2.23","7.02","9.25","","",""
"57","Butler","Horizon","","27","6","67.5","60.2","7.36","","2.23","","-0.54","9.65","9.11","","",""
"58","Minnesota","Big Ten","","19","14","73.6","71.2","2.39","","6.72","","8.24","0.87","9.11","","",""
"59","Villanova","Big East (East)","","15","16","71.8","70.2","1.55","","7.56","","5.89","3.23","9.11","","",""
"60","Nevada-Las Vegas","MWC","","21","11","75.3","71.0","4.34","","4.67","","8.66","0.35","9.01","","",""
"61","Florida State","ACC","","14","15","68.1","66.6","1.52","","7.75","","0.84","8.17","9.00","","",""
"62","DePaul","CUSA (American)","","16","13","67.2","64.9","2.34","","6.49","","0.83","8.00","8.84","","",""
"63","Southern Illinois","MVC","","24","7","74.4","68.2","6.19","","2.37","","6.73","1.84","8.57","","",""
"64","North Carolina-Wilmington","CAA","","24","7","71.4","60.1","11.32","","-2.80","","1.09","7.44","8.52","","",""
"65","Iowa","Big Ten","","17","14","69.1","66.5","2.61","","5.83","","3.89","4.55","8.44","","",""
"66","Pennsylvania","Ivy","","22","6","69.9","60.0","9.89","","-1.45","","1.03","7.41","8.44","","",""
"67","Ohio State","Big Ten","","17","15","64.2","64.7","-0.47","","8.49","","-0.45","8.47","8.02","","",""
"68","Louisiana-Lafayette","Sun Belt (West)","","20","10","77.5","69.5","8.03","","1.24","","6.55","1.37","7.92","","",""
