"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","North Carolina","ACC","","34","4","89.8","72.0","17.84","","8.35","","23.85","1.60","25.46","","",""
"2","Connecticut","Big East","","31","5","78.3","64.3","14.06","","8.57","","13.22","8.96","22.17","","",""
"3","Pittsburgh","Big East","","31","5","77.4","64.4","12.97","","8.61","","12.17","9.04","21.21","","",""
"4","Memphis","CUSA","","33","4","75.1","58.8","16.30","","4.63","","8.53","12.40","20.92","","",""
"5","Louisville","Big East","","31","6","74.3","61.8","12.46","","8.41","","8.93","11.93","20.87","","",""
"6","Duke","ACC","","30","7","77.5","65.9","11.57","","9.07","","11.97","8.12","20.10","","",""
"7","Missouri","Big 12","","31","7","81.5","67.7","13.82","","6.72","","15.46","4.10","19.56","","",""
"8","UCLA","Pac-10","","26","9","75.5","64.0","11.46","","7.19","","11.55","7.10","18.64","","",""
"9","West Virginia","Big East","","23","12","72.0","61.8","10.23","","8.34","","7.32","11.26","18.57","","",""
"10","Oklahoma","Big 12","","30","6","78.7","67.5","11.19","","6.88","","12.69","5.38","18.07","","",""
"11","Kansas","Big 12","","27","8","76.4","65.4","10.97","","7.90","","10.34","7.68","18.02","","",""
"12","Gonzaga","WCC","","28","6","78.9","63.0","15.94","","3.55","","12.22","5.74","17.95","","",""
"13","Michigan State","Big Ten","","31","7","72.0","63.7","8.34","","9.37","","9.33","8.39","17.71","","",""
"14","Villanova","Big East","","30","8","76.8","67.4","9.45","","8.72","","10.87","6.59","17.45","","",""
"15","Syracuse","Big East","","28","10","80.2","71.7","8.45","","9.48","","16.69","0.54","17.24","","",""
"16","Washington","Pac-10","","26","9","78.6","69.5","9.11","","8.19","","14.93","1.85","16.78","","",""
"17","Arizona State","Pac-10","","25","10","69.4","60.5","8.89","","7.82","","4.72","11.98","16.70","","",""
"18","Purdue","Big Ten","","27","10","69.1","59.8","9.27","","7.17","","6.57","9.87","16.44","","",""
"19","Wake Forest","ACC","","24","7","81.0","70.7","10.23","","7.36","","14.58","1.06","15.63","","",""
"20","Clemson","ACC","","23","9","78.3","68.0","10.31","","6.59","","12.43","3.13","15.56","","",""
"21","Brigham Young","MWC","","25","8","77.1","65.2","11.94","","4.15","","11.73","3.39","15.12","","",""
"22","Marquette","Big East","","25","10","78.3","69.5","8.77","","7.87","","12.58","2.48","15.06","","",""
"23","Texas","Big 12","","23","12","72.3","65.6","6.74","","8.09","","6.31","8.52","14.83","","",""
"24","Xavier","A-10","","27","8","71.7","61.9","9.80","","4.65","","6.01","8.44","14.45","","",""
"25","Georgetown","Big East","","16","15","69.3","63.9","5.42","","8.97","","5.15","9.25","14.39","","",""
"26","Illinois","Big Ten","","24","10","64.8","57.2","7.65","","6.73","","1.32","13.06","14.38","","",""
"27","Southern California","Pac-10","","22","13","68.5","63.5","4.94","","9.15","","3.36","10.74","14.09","","",""
