"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Texas","Big 12","","30","7","75.2","60.3","14.89","","6.99","","10.42","11.47","21.89","","",""
"2","Duke","ACC","","32","4","81.1","68.1","13.00","","8.77","","16.73","5.04","21.77","","",""
"3","Connecticut","Big East","","30","4","81.8","67.1","14.65","","6.57","","16.43","4.79","21.22","","",""
"4","Florida","SEC (East)","","33","6","78.3","63.5","14.72","","5.49","","12.24","7.97","20.21","","",""
"5","Kansas","Big 12","","25","8","75.2","61.3","13.82","","7.60","","9.07","10.95","20.02","","",""
"6","Villanova","Big East","","28","5","74.2","63.8","10.36","","9.23","","10.60","8.91","19.51","","",""
"7","Memphis","CUSA","","33","4","80.0","65.5","14.57","","4.24","","13.92","4.89","18.81","","",""
"8","North Carolina","ACC","","23","8","79.4","68.6","10.71","","7.77","","14.58","3.90","18.48","","",""
"9","Washington","Pac-10","","26","7","82.0","69.9","12.12","","5.96","","18.11","-0.03","18.08","","",""
"10","Louisiana State","SEC (West)","","27","9","73.1","63.9","9.28","","8.77","","8.79","8.75","17.54","","",""
"11","UCLA","Pac-10","","32","7","67.7","58.7","9.08","","8.27","","3.19","14.15","17.34","","",""
"12","Illinois","Big Ten","","26","7","70.0","58.7","11.33","","6.29","","4.60","12.59","17.20","","",""
"13","Pittsburgh","Big East","","25","8","72.5","63.1","9.36","","7.01","","6.76","9.61","16.37","","",""
"14","Ohio State","Big Ten","","26","6","73.8","63.7","10.19","","5.90","","8.75","7.34","16.08","","",""
"15","Arizona","Pac-10","","20","13","73.7","68.7","5.03","","10.09","","10.51","4.61","15.12","","",""
"16","Arkansas","SEC (West)","","22","10","73.7","64.9","8.84","","6.17","","7.91","7.10","15.01","","",""
"17","Tennessee","SEC (East)","","22","8","80.4","73.5","6.97","","7.76","","15.85","-1.12","14.73","","",""
"18","West Virginia","Big East","","22","11","70.7","63.4","7.30","","8.54","","6.45","8.05","14.51","","",""
"19","Iowa","Big Ten","","25","9","66.3","58.9","7.38","","6.80","","0.84","13.34","14.18","","",""
"20","Georgetown","Big East","","23","10","66.0","58.9","7.06","","6.92","","0.97","13.00","13.98","","",""
"21","Boston College","ACC","","28","8","74.2","66.2","8.00","","6.10","","7.52","6.27","13.79","","",""
"22","South Carolina","SEC (East)","","23","15","67.8","62.6","5.16","","8.14","","2.72","10.59","13.30","","",""
"23","Texas A&M","Big 12","","22","9","68.7","60.3","8.42","","4.77","","2.29","10.90","13.19","","",""
"24","Wisconsin","Big Ten","","19","12","71.1","65.6","5.48","","7.24","","7.77","5.37","13.14","","",""
"25","Kentucky","SEC (East)","","22","13","70.8","66.2","4.60","","8.88","","6.35","6.77","13.12","","",""
"26","Missouri State","MVC","","22","9","74.2","66.4","7.81","","5.19","","9.46","3.53","12.99","","",""
"27","Cincinnati","Big East","","21","13","74.4","69.4","5.03","","8.41","","10.79","2.17","12.95","","",""
"28","North Carolina State","ACC","","22","10","74.5","67.4","7.06","","5.63","","7.62","5.08","12.70","","",""
"29","Florida State","ACC","","20","10","76.7","69.2","7.50","","4.86","","9.55","2.81","12.36","","",""
"30","Notre Dame","Big East","","16","14","76.4","70.7","5.67","","6.68","","10.85","1.49","12.35","","",""
"31","Gonzaga","WCC","","29","4","80.1","72.8","7.30","","5.02","","13.46","-1.14","12.32","","",""
"32","University of California","Pac-10","","20","11","68.6","64.5","4.13","","8.84","","4.05","8.25","12.31","","",""
"33","Michigan State","Big Ten","","22","12","74.1","68.6","5.47","","7.27","","9.98","2.26","12.24","","",""
"34","Michigan","Big Ten","","22","11","71.7","66.6","5.15","","7.04","","8.90","3.30","12.19","","",""
"35","George Mason","CAA","","27","8","69.4","60.1","9.34","","2.77","","1.91","10.21","12.11","","",""
"36","Indiana","Big Ten","","19","12","72.0","67.2","4.74","","7.36","","6.89","5.21","12.10","","",""
"37","Oklahoma","Big 12","","20","9","68.8","63.7","5.10","","6.79","","4.42","7.47","11.89","","",""
"38","Bradley","MVC","","22","11","71.5","65.1","6.39","","5.38","","7.66","4.12","11.78","","",""
"39","Syracuse","Big East","","23","12","72.4","68.9","3.51","","8.16","","8.15","3.53","11.68","","",""
"40","Northern Iowa","MVC","","23","10","65.6","57.8","7.82","","5.13","","0.53","11.02","11.55","","",""
"41","Wichita State","MVC","","26","9","69.2","61.9","7.34","","4.72","","3.87","7.59","11.45","","",""
"42","Marquette","Big East","","20","11","75.0","69.4","5.65","","8.16","","9.90","1.43","11.33","","",""
"43","Louisville","Big East","","21","13","69.9","64.6","5.29","","6.50","","4.02","7.24","11.26","","",""
"44","Oklahoma State","Big 12","","17","16","70.4","65.8","4.58","","6.67","","4.42","6.83","11.25","","",""
"45","Colorado","Big 12","","20","10","76.8","70.2","6.60","","4.57","","11.43","-0.26","11.17","","",""
"46","Alabama","SEC (West)","","18","13","70.3","67.5","2.71","","8.08","","6.19","4.60","10.79","","",""
"47","Maryland","ACC","","19","13","78.3","73.5","4.78","","6.73","","11.12","-0.39","10.73","","",""
"48","Vanderbilt","SEC (East)","","17","13","70.1","67.0","3.10","","7.53","","4.64","5.99","10.63","","",""
"49","Oregon","Pac-10","","15","18","69.5","65.3","4.21","","6.85","","5.21","5.20","10.41","","",""
