"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","Duke","ACC","","37","2","91.8","67.2","24.67","","10.14","","27.10","7.71","34.80","","",""
"2","Maryland","ACC","","28","6","84.5","66.4","18.06","","9.10","","19.91","6.27","26.19","","",""
"3","Connecticut","Big East","","34","2","77.3","61.3","15.94","","8.80","","11.62","13.12","24.74","","",""
"4","Auburn","SEC (West)","","29","4","81.2","61.6","19.61","","4.93","","13.91","10.63","24.54","","",""
"5","St. John's (NY)","Big East","","28","9","79.0","65.4","13.62","","9.09","","13.41","9.30","22.71","","",""
"6","Kentucky","SEC (East)","","28","9","75.4","62.7","12.70","","9.93","","9.85","12.78","22.63","","",""
"7","Michigan State","Big Ten","","33","5","71.7","59.5","12.18","","10.89","","8.12","14.50","22.62","","",""
"8","Stanford","Pac-10","","26","7","73.5","60.8","12.70","","10.34","","7.00","15.21","22.21","","",""
"9","Cincinnati","CUSA (American)","","27","6","73.9","61.2","12.73","","7.70","","7.62","12.33","19.95","","",""
"10","Ohio State","Big Ten","","27","9","74.9","64.8","10.03","","9.51","","10.50","8.52","19.02","","",""
"11","Utah","WAC (Pacific)","","28","5","71.3","55.4","15.91","","3.30","","2.11","15.86","17.97","","",""
"12","Wisconsin","Big Ten","","22","10","62.1","55.2","6.91","","10.37","","-0.74","18.02","17.28","","",""
"13","Indiana","Big Ten","","23","11","75.4","69.6","5.85","","11.36","","13.76","3.46","17.21","","",""
"14","Temple","A-10 (East)","","24","11","66.6","58.5","8.09","","8.97","","1.83","15.23","17.05","","",""
"15","Miami (FL)","Big East","","23","7","72.6","65.0","7.60","","9.18","","7.04","9.75","16.78","","",""
"16","North Carolina","ACC","","24","10","71.4","64.9","6.53","","10.25","","5.72","11.06","16.77","","",""
"17","Kansas","Big 12","","23","10","72.1","64.5","7.64","","9.10","","8.09","8.14","16.23","","",""
"18","Syracuse","Big East","","21","12","72.3","63.2","9.12","","7.64","","6.40","9.46","15.86","","",""
"19","Florida","SEC (East)","","22","9","80.3","70.2","10.06","","5.63","","13.00","2.69","15.69","","",""
"20","Iowa","Big Ten","","20","10","73.9","70.0","3.93","","11.43","","12.14","3.22","15.36","","",""
"21","Arizona","Pac-10","","22","7","82.2","75.2","6.97","","8.31","","16.51","-1.23","15.28","","",""
"22","UCLA","Pac-10","","22","9","77.2","70.7","6.42","","8.84","","10.41","4.86","15.26","","",""
"23","Louisville","CUSA (American)","","19","11","76.9","69.8","7.10","","8.12","","12.39","2.83","15.22","","",""
"24","Gonzaga","WCC","","28","7","78.4","65.1","13.23","","2.21","","9.92","5.12","15.03","","",""
"25","Mississippi","SEC (West)","","20","13","77.0","67.1","9.88","","8.17","","9.76","5.08","14.83","","",""
