"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","North Carolina","ACC","","34","4","86.1","","","","11.25","","17.21","11.83","29.04","","",""
"2","Kentucky","SEC (East)","","30","4","87.5","","","","9.23","","16.78","10.13","26.91","","",""
"3","Duke","ACC","","24","8","86.4","","","","10.76","","16.57","9.42","25.98","","",""
"4","Indiana","Big Ten","","31","4","86.5","","","","11.09","","19.17","6.67","25.84","","",""
"5","Cincinnati","GMWC","","27","5","74.5","","","","6.62","","4.88","17.74","22.62","","",""
"6","Kansas","Big 8","","29","7","84.4","","","","10.88","","12.67","9.63","22.30","","",""
"7","Michigan","Big Ten","","31","5","81.9","","","","11.89","","14.20","7.84","22.03","","",""
"8","Arizona","Pac-10","","24","4","83.6","","","","8.28","","15.06","5.43","20.50","","",""
"9","Vanderbilt","SEC (East)","","28","6","83.0","","","","6.40","","12.81","7.01","19.82","","",""
"10","Iowa","Big Ten","","23","9","78.3","","","","8.14","","7.85","11.90","19.75","","",""
"11","Seton Hall","Big East","","28","7","77.9","","","","9.07","","9.08","10.40","19.48","","",""
"12","Iowa State","Big 8","","20","11","81.3","","","","8.05","","11.05","7.60","18.65","","",""
"13","Florida State","ACC","","25","10","86.3","","","","11.44","","17.84","0.22","18.07","","",""
"14","Oklahoma","Big 8","","20","12","89.1","","","","10.18","","17.78","0.09","17.87","","",""
"15","Arkansas","SEC (West)","","22","9","86.9","","","","8.30","","16.08","1.64","17.72","","",""
"16","Wake Forest","ACC","","21","9","77.7","","","","9.32","","6.90","9.92","16.82","","",""
"17","Minnesota","Big Ten","","22","10","76.7","","","","9.22","","7.85","8.95","16.80","","",""
"18","Marquette","GMWC","","20","8","73.8","","","","2.29","","2.58","13.10","15.68","","",""
"19","Western Kentucky","Sun Belt","","26","6","85.1","","","","1.75","","10.97","4.24","15.22","","",""
"20","Louisville","Metro","","22","9","81.1","","","","8.85","","9.69","4.96","14.65","","",""
"21","Oklahoma State","Big 8","","20","9","77.4","","","","9.90","","5.71","8.90","14.62","","",""
"22","Virginia","ACC","","21","10","74.2","","","","9.76","","4.61","9.99","14.60","","",""
"23","Massachusetts","A-10","","24","7","73.0","","","","5.34","","1.02","13.22","14.25","","",""
"24","Providence","Big East","","20","13","70.8","","","","8.19","","2.35","11.90","14.25","","",""
"25","Michigan State","Big Ten","","15","13","74.3","","","","7.92","","4.35","9.33","13.67","","",""
"26","Syracuse","Big East","","20","9","79.4","","","","8.84","","9.69","3.90","13.59","","",""
"27","Missouri","Big 8","","19","14","74.3","","","","9.11","","3.28","10.10","13.38","","",""
"28","Utah","WAC","","24","7","77.1","","","","2.27","","5.98","7.36","13.34","","",""
"29","St. John's (NY)","Big East","","19","11","75.4","","","","9.49","","6.82","6.34","13.16","","",""
"30","Georgia Tech","ACC","","19","11","77.7","","","","10.39","","7.64","5.32","12.96","","",""
"31","Purdue","Big Ten","","18","10","70.9","","","","9.63","","3.06","9.89","12.96","","",""
"32","Temple","A-10","","20","13","69.2","","","","10.23","","2.02","10.90","12.93","","",""
"33","University of California","Pac-10","","21","9","79.3","","","","7.26","","9.54","3.26","12.79","","",""
"34","Memphis","GMWC","","20","12","75.1","","","","8.73","","5.79","6.91","12.70","","",""
"35","Georgetown","Big East","","20","13","69.2","","","","8.68","","-1.97","14.58","12.61","","",""
"36","Brigham Young","WAC","","25","9","81.0","","","","4.08","","10.21","2.28","12.49","","",""
"37","New Orleans","Sun Belt","","26","4","72.5","","","","0.55","","-0.13","12.13","12.00","","",""
"38","Boston College","Big East","","18","13","71.5","","","","7.48","","2.16","9.73","11.90","","",""
"39","Ohio State","Big Ten","","15","13","71.1","","","","10.93","","3.36","8.54","11.89","","",""
"40","Illinois","Big Ten","","19","13","75.9","","","","9.27","","7.15","4.68","11.83","","",""
"41","West Virginia","A-10","","17","12","76.4","","","","6.20","","5.93","5.89","11.82","","",""
"42","Connecticut","Big East","","15","13","75.5","","","","8.06","","7.70","4.00","11.71","","",""
"43","Washington State","Pac-10","","15","12","72.7","","","","5.63","","1.18","10.45","11.63","","",""
"44","George Washington","A-10","","21","9","76.4","","","","4.27","","5.13","6.43","11.57","","",""
"45","Georgia","SEC (East)","","15","14","77.7","","","","10.04","","6.54","5.01","11.54","","",""
"46","UCLA","Pac-10","","22","11","78.4","","","","9.05","","9.69","1.66","11.35","","",""
"47","Nevada-Las Vegas","Big West","","21","8","89.4","","","","3.07","","19.21","-8.04","11.17","","",""
"48","Xavier","MW Coll","","24","6","74.3","","","","2.75","","2.65","8.24","10.89","","",""
"49","Alabama-Birmingham","GMWC","","21","14","69.5","","","","5.68","","-1.18","12.00","10.82","","",""
"50","Florida","SEC (East)","","16","12","73.5","","","","7.74","","2.76","7.97","10.74","","",""
"51","Nebraska","Big 8","","20","11","80.5","","","","5.70","","10.28","0.29","10.57","","",""
"52","Louisiana State","SEC (West)","","22","11","78.7","","","","5.28","","6.08","4.17","10.25","","",""
"53","Clemson","ACC","","17","13","79.2","","","","7.55","","8.32","1.72","10.05","","",""
"54","Kansas State","Big 8","","19","11","70.3","","","","6.91","","-0.59","10.44","9.85","","",""
"55","Houston","SWC","","21","9","79.2","","","","2.66","","5.59","4.20","9.79","","",""
"56","Pittsburgh","Big East","","17","11","77.3","","","","9.06","","9.23","0.51","9.74","","",""
"57","Alabama","SEC (West)","","16","13","75.6","","","","7.83","","5.30","4.36","9.66","","",""
"58","Rhode Island","A-10","","19","11","77.2","","","","6.40","","8.11","1.38","9.50","","",""
"59","Maryland","ACC","","12","16","79.8","","","","9.17","","9.16","0.34","9.49","","",""
"60","James Madison","CAA","","21","9","80.4","","","","0.27","","6.99","2.38","9.37","","",""
"61","Southern Illinois","MVC","","23","10","77.1","","","","2.14","","8.74","0.58","9.33","","",""
"62","Virginia Commonwealth","Metro","","20","10","79.3","","","","1.76","","6.06","3.19","9.26","","",""
"63","Arizona State","Pac-10","","18","10","84.5","","","","6.97","","15.17","-5.94","9.23","","",""
"64","New Mexico","WAC","","24","7","69.8","","","","3.30","","-1.70","10.66","8.96","","",""
"65","Auburn","SEC (West)","","15","12","80.4","","","","6.97","","7.87","1.05","8.93","","",""
"66","Evansville","MW Coll","","23","7","75.0","","","","-0.88","","0.82","8.02","8.84","","",""
"67","Southern California","Pac-10","","18","12","71.5","","","","7.81","","1.34","7.18","8.52","","",""
"68","Villanova","Big East","","8","19","70.6","","","","7.18","","1.50","6.98","8.48","","",""
"69","Oregon State","Pac-10","","13","14","69.2","","","","9.07","","-1.08","9.56","8.47","","",""
"70","Long Beach State","Big West","","22","10","78.5","","","","2.38","","4.81","3.44","8.24","","",""
"71","Tulane","Metro","","22","9","75.9","","","","2.39","","2.75","5.37","8.13","","",""
"72","Wisconsin","Big Ten","","14","14","77.0","","","","6.72","","8.14","-0.07","8.08","","",""
"73","New Mexico State","Big West","","26","8","76.9","","","","4.10","","5.74","2.33","8.07","","",""
"74","Tennessee","SEC (East)","","13","17","78.7","","","","8.75","","8.14","-0.33","7.82","","",""
"75","Louisiana-Monroe","Southland","","26","5","87.2","","","","-5.08","","7.89","-0.24","7.66","","",""
"76","UC-Santa Barbara","Big West","","18","11","68.8","","","","1.55","","-2.89","10.17","7.28","","",""
"77","Missouri State","MVC","","20","11","63.1","","","","2.40","","-7.07","14.12","7.05","","",""
"78","Rutgers","A-10","","13","15","81.4","","","","6.38","","10.04","-3.14","6.90","","",""
"79","Saint Louis","GMWC","","12","17","69.6","","","","6.65","","-1.34","8.21","6.87","","",""
"80","Southern Methodist","SWC","","20","8","81.1","","","","3.15","","6.35","0.46","6.81","","",""
"81","Chattanooga","Southern","","26","7","85.5","","","","-3.06","","7.54","-0.91","6.63","","",""
"82","Lamar","Sun Belt","","15","12","88.3","","","","-1.82","","13.64","-7.07","6.57","","",""
"83","Colorado","Big 8","","10","17","74.2","","","","7.62","","4.01","2.46","6.48","","",""
"84","Pennsylvania","Ivy","","22","5","72.2","","","","-3.14","","0.43","5.84","6.27","","",""
"85","Saint Joseph's","A-10","","18","11","71.8","","","","3.95","","1.74","4.45","6.19","","",""
"86","Rice","SWC","","18","10","77.5","","","","2.38","","4.79","1.38","6.17","","",""
"87","DePaul","GMWC","","16","15","73.9","","","","6.79","","5.78","-0.24","5.53","","",""
"88","Charlotte","Metro","","15","13","72.8","","","","2.83","","-0.69","6.06","5.37","","",""
"89","Miami (FL)","Big East","","10","17","71.4","","","","9.19","","3.95","1.21","5.15","","",""
"90","Texas-El Paso","WAC","","21","13","71.2","","","","3.20","","0.03","5.05","5.08","","",""
"91","Old Dominion","CAA","","21","8","84.3","","","","2.05","","10.51","-5.53","4.98","","",""
"92","Washington","Pac-10","","13","14","71.1","","","","6.26","","-2.26","7.20","4.94","","",""
"93","South Alabama","Sun Belt","","15","13","81.5","","","","1.91","","9.11","-4.27","4.84","","",""
"94","Miami (OH)","MAC","","22","9","63.6","","","","-0.28","","-8.37","13.16","4.79","","",""
"95","Pacific","Big West","","16","11","67.1","","","","1.69","","-6.28","11.05","4.77","","",""
"96","Niagara","MAAC","","23","7","79.6","","","","-4.02","","6.68","-2.00","4.68","","",""
"97","Louisiana-Lafayette","Sun Belt","","17","13","79.7","","","","1.68","","6.96","-2.38","4.58","","",""
"98","Arkansas State","Sun Belt","","16","12","70.4","","","","0.02","","-3.73","7.79","4.06","","",""
"99","Pepperdine","WCC","","23","8","72.2","","","","-1.32","","-3.21","7.03","3.82","","",""
"100","Illinois State","MVC","","19","10","66.6","","","","0.97","","-4.46","8.22","3.75","","",""
"101","South Carolina","SEC (East)","","9","18","77.0","","","","9.78","","7.44","-4.00","3.44","","",""
"102","Colorado State","WAC","","17","12","74.9","","","","2.21","","1.39","1.94","3.33","","",""
"103","Manhattan","MAAC","","23","7","73.1","","","","-3.05","","0.62","2.53","3.15","","",""
"104","Cal State Fullerton","Big West","","15","12","71.7","","","","2.19","","-1.43","4.55","3.12","","",""
"105","Wright State","Mid-Cont","","20","10","89.1","","","","-5.97","","10.95","-7.85","3.10","","",""
"106","Baylor","SWC","","16","11","87.1","","","","1.83","","11.13","-8.14","2.99","","",""
"107","Texas","SWC","","11","17","81.8","","","","5.41","","8.09","-5.16","2.93","","",""
"108","Texas Tech","SWC","","18","12","80.2","","","","1.56","","5.14","-2.23","2.91","","",""
"109","Holy Cross","Patriot","","23","7","85.4","","","","-5.04","","10.89","-8.30","2.59","","",""
"110","Hawaii","WAC","","12","16","70.0","","","","2.97","","-0.38","2.85","2.47","","",""
"111","Tulsa","MVC","","15","14","76.8","","","","2.28","","4.83","-2.43","2.40","","",""
"112","Northwestern","Big Ten","","8","19","70.8","","","","9.19","","0.33","2.01","2.34","","",""
"113","Notre Dame","Ind","","9","18","63.4","","","","8.91","","-5.02","7.08","2.06","","",""
"114","Richmond","CAA","","15","12","71.7","","","","-0.24","","-2.20","4.22","2.02","","",""
"115","Southern Mississippi","Metro","","10","17","79.3","","","","4.80","","6.43","-4.41","2.02","","",""
"116","Southern","SWAC","","21","10","97.1","","","","-7.48","","14.60","-12.59","2.01","","",""
"117","Oregon","Pac-10","","10","20","75.9","","","","8.63","","4.30","-2.48","1.82","","",""
"118","Detroit Mercy","MW Coll","","15","12","78.4","","","","0.81","","5.29","-3.56","1.73","","",""
"119","North Carolina State","ACC","","8","19","68.0","","","","10.62","","-1.60","3.32","1.73","","",""
"120","Gonzaga","WCC","","19","9","74.7","","","","-4.93","","-1.96","3.57","1.61","","",""
"121","Duquesne","MW Coll","","13","15","74.9","","","","1.15","","3.02","-1.48","1.54","","",""
"122","Milwaukee","Ind","","23","4","79.7","","","","-7.60","","2.26","-0.79","1.48","","",""
"123","Santa Clara","WCC","","19","12","68.9","","","","0.24","","-4.44","5.85","1.41","","",""
"124","Ball State","MAC","","26","8","71.2","","","","-4.68","","-2.81","4.13","1.32","","",""
"125","Mississippi State","SEC (West)","","13","16","70.1","","","","6.72","","-1.88","3.19","1.32","","",""
"126","Utah State","Big West","","10","17","77.5","","","","5.27","","5.53","-4.34","1.19","","",""
"127","Idaho","Big Sky","","24","8","74.5","","","","-4.85","","-1.71","2.79","1.08","","",""
"128","Texas A&M","SWC","","10","17","68.7","","","","3.73","","-4.08","4.99","0.92","","",""
"129","Penn State","Big Ten","","7","20","62.2","","","","9.23","","-5.39","6.29","0.90","","",""
"130","Drake","MVC","","14","14","73.8","","","","2.33","","4.49","-3.60","0.89","","",""
"131","North Carolina-Wilmington","CAA","","17","11","82.2","","","","-1.60","","7.40","-6.65","0.75","","",""
"132","Jackson State","SWAC","","25","9","84.8","","","","-3.64","","5.02","-4.29","0.73","","",""
"133","Siena","MAAC","","16","13","71.7","","","","-2.31","","-1.49","2.22","0.73","","",""
"134","Weber State","Big Sky","","20","8","78.2","","","","-3.89","","3.87","-3.51","0.36","","",""
"135","Boise State","Big Sky","","21","8","75.5","","","","-4.28","","0.56","-0.21","0.35","","",""
"136","Stanford","Pac-10","","7","23","66.3","","","","6.06","","-4.87","4.94","0.06","","",""
"137","La Salle","MW Coll","","14","13","70.6","","","","2.56","","-1.93","1.92","-0.02","","",""
"138","Cleveland State","Mid-Cont","","22","6","76.4","","","","-5.50","","0.98","-1.05","-0.08","","",""
"139","Bucknell","Patriot","","23","6","81.0","","","","-8.57","","3.85","-3.96","-0.11","","",""
"140","American","CAA","","11","17","76.1","","","","1.15","","3.79","-3.96","-0.17","","",""
"141","Indiana State","MVC","","11","17","67.2","","","","2.29","","-1.98","1.75","-0.23","","",""
"142","St. Bonaventure","A-10","","10","17","71.0","","","","3.46","","0.80","-1.07","-0.27","","",""
"143","East Tennessee State","Southern","","19","10","83.2","","","","-3.31","","4.99","-5.38","-0.39","","",""
