"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","31","10","21",".323","-2.99","2.37","0","16","7","10","1","9","1821","1936","","","611","1389",".440","206","546",".377","393","583",".674","","879","378","155","70","407","542"
"2","Akron","36","23","13",".639","3.37","-2.01","10","6","11","3","8","8","2403","2171","","","823","1969",".418","258","776",".332","499","705",".708","","1199","446","270","80","490","745"
"3","Alabama A&M","27","8","19",".296","-19.72","-11.63","6","12","6","7","2","11","1761","1954","","","608","1566",".388","121","454",".267","424","638",".665","","948","298","224","90","448","549"
"4","Alabama-Birmingham","34","22","12",".647","10.05","3.67","11","5","13","1","7","8","2461","2244","","","880","1935",".455","228","676",".337","473","669",".707","","1169","430","224","69","387","568"
"5","Alabama State","32","22","10",".688","-6.13","-11.20","16","2","10","1","8","7","2202","2025","","","816","1752",".466","181","550",".329","389","614",".634","","1130","445","182","153","434","558"
"6","Alabama","32","18","14",".563","5.49","3.99","7","9","13","5","2","7","2349","2254","","","845","1913",".442","157","479",".328","502","711",".706","","1264","357","235","144","464","546"
"7","Albany (NY)","31","15","16",".484","-6.63","-4.11","6","10","10","4","5","12","1984","2038","","","715","1713",".417","130","442",".294","424","590",".719","","1206","367","160","63","474","626"
"8","Alcorn State","31","6","25",".194","-25.55","-10.26","4","14","5","7","1","15","2156","2588","","","742","1901",".390","187","571",".327","485","709",".684","","992","309","257","55","455","609"
"9","American","32","24","8",".750","-0.05","-5.49","13","1","13","1","11","6","2065","1891","","","751","1614",".465","230","615",".374","333","514",".648","","1046","421","176","79","422","581"
"10","Appalachian State","31","13","18",".419","-8.44","-5.44","9","11","7","7","5","9","2356","2381","","","799","1768",".452","239","642",".372","519","733",".708","","1220","407","187","106","542","626"
"11","Arizona State","35","25","10",".714","16.70","7.82","11","7","12","3","6","4","2428","2117","","","825","1718",".480","288","778",".370","490","665",".737","","1085","544","201","72","401","557"
"12","Arizona","35","21","14",".600","11.88","8.80","9","9","14","3","2","9","2529","2421","","","897","1892",".474","212","548",".387","523","709",".738","","1183","500","217","104","442","548"
"13","Arkansas-Little Rock","31","23","8",".742","-0.66","-3.72","15","3","11","4","11","3","2059","1964","","","711","1589",".447","159","445",".357","478","714",".669","","1079","404","171","108","465","608"
"14","Arkansas-Pine Bluff","31","13","18",".419","-15.45","-7.48","11","7","6","3","6","14","1943","2190","","","709","1768",".401","124","431",".288","401","649",".618","","1179","339","271","84","605","705"
"15","Arkansas State","30","13","17",".433","-5.42","-4.31","5","13","9","5","4","12","1996","1948","","","731","1685",".434","144","442",".326","390","571",".683","","1094","402","201","109","408","501"
"16","Arkansas","30","14","16",".467","3.79","3.89","2","14","12","6","1","9","2238","2213","","","797","1821",".438","202","608",".332","442","679",".651","","1129","390","227","86","419","521"
"17","Army","30","11","19",".367","-10.11","-7.59","6","8","7","7","4","12","1741","1823","","","644","1533",".420","144","427",".337","309","448",".690","","876","396","224","75","459","579"
"18","Auburn","36","24","12",".667","9.93","3.56","10","6","18","4","5","5","2620","2354","","","928","2116",".439","278","832",".334","486","802",".606","","1323","507","327","123","470","674"
"19","Austin Peay","33","19","14",".576","-4.20","-3.69","13","5","9","5","9","7","2485","2449","","","885","1877",".471","225","616",".365","490","712",".688","","1121","486","224","105","446","610"
