"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","29","22","7",".759","9.12","0.08","12","2","13","0","8","5","1737","1475","","","585","1216",".481","245","647",".379","322","453",".711","","623","386","225","68","318","481"
"2","Akron","28","13","15",".464","-0.39","0.00","7","11","9","4","4","11","2009","2020","","","696","1492",".466","173","477",".363","444","688",".645","","940","423","207","71","410","544"
"3","Alabama A&M","30","13","17",".433","-15.88","-12.29","9","9","8","4","3","12","2113","2220","","","721","1762",".409","186","586",".317","485","705",".688","","1112","378","220","78","487","650"
"4","Alabama-Birmingham","32","22","10",".688","11.76","5.63","12","4","14","1","5","5","2414","2218","","","882","2006",".440","213","646",".330","437","656",".666","","1119","564","371","115","431","681"
"5","Alabama State","31","16","15",".516","-11.10","-10.78","11","7","7","4","5","9","1904","1913","","","639","1523",".420","173","517",".335","453","691",".656","","1066","315","219","95","537","581"
"6","Alabama","33","20","13",".606","14.29","10.20","8","8","11","4","4","6","2380","2245","","","813","1802",".451","233","616",".378","521","735",".709","","1148","395","213","111","423","598"
"7","Albany (NY)","28","5","23",".179","-15.33","-7.47","3","15","3","10","2","12","1621","1841","","","598","1493",".401","135","455",".297","290","393",".738","","916","314","188","63","441","474"
"8","Alcorn State","29","11","18",".379","-20.17","-11.79","9","9","6","6","4","11","1855","2098","","","646","1520",".425","162","461",".351","401","592",".677","","962","329","179","62","560","565"
"9","American","31","18","13",".581","-4.59","-7.04","10","4","7","4","7","8","2092","2016","","","726","1643",".442","206","560",".368","434","642",".676","","1067","411","240","72","441","564"
"10","Appalachian State","30","9","21",".300","-5.83","-1.18","4","12","4","8","4","11","2091","2170","","","766","1875",".409","204","626",".326","355","554",".641","","1047","437","324","138","494","609"
"11","Arizona State","27","10","17",".370","2.83","5.35","4","14","7","8","2","9","2000","2068","","","646","1498",".431","161","478",".337","547","744",".735","","961","426","150","86","408","567"
"12","Arizona","30","20","10",".667","15.30","6.63","11","7","13","2","5","5","2614","2354","","","942","1938",".486","219","568",".386","511","650",".786","","1177","560","206","135","448","483"
"13","Arkansas-Little Rock","29","17","12",".586","-1.00","-3.97","9","5","12","2","3","8","2081","1895","","","697","1574",".443","153","459",".333","534","739",".723","","1072","348","187","93","454","580"
"14","Arkansas-Pine Bluff","27","1","26",".037","-30.69","-8.54","1","17","0","10","1","16","1410","2008","","","511","1485",".344","136","487",".279","252","395",".638","","936","269","149","66","518","568"
"15","Arkansas State","28","17","11",".607","-1.57","-4.42","7","7","10","4","6","5","2078","1957","","","707","1581",".447","196","550",".356","468","642",".729","","1017","315","190","80","434","576"
"16","Arkansas","28","12","16",".429","6.53","6.28","4","12","10","6","1","8","1928","1921","","","678","1629",".416","180","573",".314","392","577",".679","","967","363","220","108","386","555"
"17","Army","27","6","21",".222","-22.76","-7.72","3","11","4","11","2","8","1363","1708","","","455","1257",".362","154","470",".328","299","456",".656","","782","270","170","52","463","493"
"18","Auburn","28","14","14",".500","10.32","5.89","5","11","12","5","1","8","1960","1836","","","700","1598",".438","185","543",".341","375","566",".663","","1043","427","244","134","447","473"
"19","Austin Peay","32","22","10",".688","1.42","-1.38","16","0","13","0","8","8","2098","1935","","","739","1673",".442","182","556",".327","438","632",".693","","1090","405","218","130","440","558"
"20","Ball State","29","14","15",".483","1.03","1.78","10","8","10","5","4","9","2046","2032","","","703","1657",".424","149","443",".336","491","672",".731","","1023","365","174","63","379","589"
"21","Baylor","29","8","21",".276","-2.73","5.20","3","13","6","11","1","9","1847","2041","","","656","1540",".426","168","534",".315","367","531",".691","","924","351","214","74","446","465"
"22","Belmont","30","21","9",".700","1.70","-4.68","15","5","12","4","9","5","2171","1947","","","745","1634",".456","293","818",".358","388","566",".686","","995","494","269","72","437","539"
"23","Bethune-Cookman","29","8","21",".276","-18.49","-10.63","7","11","5","6","3","14","1711","1939","","","606","1549",".391","176","558",".315","323","462",".699","","927","306","241","61","461","532"
"24","Binghamton","30","14","16",".467","-9.09","-6.33","10","8","6","5","6","7","1802","1885","","","630","1549",".407","161","508",".317","381","596",".639","","1057","314","202","157","509","564"
"25","Birmingham-Southern","27","20","7",".741","-3.27","-9.79","12","4","12","1","7","5","1998","1760","","","680","1412",".482","243","565",".430","395","568",".695","","963","426","205","87","428","520"
"26","Boise State","33","23","10",".697","8.85","4.14","12","6","13","4","10","5","2431","2227","","","852","1904",".447","221","639",".346","506","686",".738","","1136","461","212","105","428","567"
"27","Boston College","34","24","10",".706","11.99","7.17","10","6","13","3","5","5","2312","2148","","","819","1799",".455","128","393",".326","546","804",".679","","1224","543","241","102","457","537"
"28","Boston University","29","23","6",".793","1.12","-5.91","17","1","11","3","12","3","1930","1726","","","693","1617",".429","177","543",".326","367","530",".692","","1007","420","228","105","351","537"
"29","Bowling Green State","31","14","17",".452","-1.26","0.50","8","10","11","4","2","10","2194","2206","","","721","1609",".448","201","545",".369","551","711",".775","","1061","470","167","120","509","739"
"30","Bradley","31","15","16",".484","-0.08","1.92","7","11","11","4","3","10","2058","2126","","","667","1649",".404","192","585",".328","532","734",".725","","1048","379","223","57","486","685"
"31","Brigham Young","30","21","9",".700","12.70","6.31","10","4","13","0","5","7","2200","1966","","","764","1571",".486","171","487",".351","501","692",".724","","1017","445","208","98","409","566"
"32","Brown","27","14","13",".519","-5.40","-4.17","10","4","7","4","6","9","1956","1966","","","703","1561",".450","208","570",".365","342","487",".702","","891","426","240","85","412","499"
"33","Bucknell","29","14","15",".483","-4.21","-6.65","9","5","10","2","2","11","1883","1759","","","670","1454",".461","140","483",".290","403","602",".669","","1002","375","244","71","484","561"
"34","Buffalo","29","17","12",".586","2.36","-1.19","11","7","9","5","8","6","2175","2072","","","771","1669",".462","187","494",".379","446","663",".673","","1038","383","232","83","436","633"
"35","Butler","30","16","14",".533","1.80","-0.03","8","8","11","4","4","9","1872","1805","","","646","1554",".416","245","715",".343","335","439",".763","","887","339","160","59","308","567"
"36","Cal Poly","27","11","16",".407","-3.39","-0.20","6","12","8","5","3","10","1901","1977","","","681","1534",".444","166","500",".332","373","533",".700","","909","364","207","88","410","519"
"37","Cal State Fullerton","28","11","17",".393","-4.03","-0.81","7","11","8","6","3","10","1983","2050","","","693","1637",".423","196","535",".366","401","588",".682","","1067","403","184","52","435","579"
"38","Cal State Northridge","30","14","16",".467","-1.90","-0.46","7","11","7","6","4","9","2045","2063","","","707","1605",".440","175","513",".341","456","631",".723","","904","374","298","70","492","632"
"39","UC-Irvine","28","11","17",".393","-3.33","-0.10","6","12","7","5","1","11","1782","1852","","","611","1345",".454","155","409",".379","405","591",".685","","924","382","158","70","449","542"
"40","UC-Riverside","28","11","17",".393","-3.62","-0.21","7","11","8","4","2","12","1932","1973","","","681","1537",".443","182","569",".320","388","542",".716","","868","347","179","86","389","540"
"41","UC-Santa Barbara","28","16","12",".571","2.40","-0.63","10","8","10","2","5","6","1847","1735","","","651","1453",".448","164","426",".385","381","576",".661","","972","385","191","58","414","526"
"42","University of California","28","13","15",".464","6.29","6.65","9","9","11","4","2","9","1873","1883","","","675","1544",".437","127","410",".310","396","631",".628","","984","386","173","84","394","540"
"43","Campbell","27","3","24",".111","-21.16","-4.49","3","17","3","9","0","15","1858","2308","","","679","1722",".394","156","521",".299","344","521",".660","","1001","366","209","38","458","592"
"44","Canisius","30","10","20",".333","-6.20","-2.75","5","13","3","9","6","9","2064","2169","","","763","1750",".436","207","544",".381","331","525",".630","","1114","458","177","90","446","572"
