"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","31","24","7",".774","10.20","2.49","12","4","16","0","6","5","1990","1695","","","683","1413",".483","276","684",".404","348","467",".745","","763","445","249","67","335","472"
"2","Akron","33","23","10",".697","5.00","0.13","14","4","13","0","7","8","2407","2180","","","826","1825",".453","264","721",".366","491","682",".720","","1116","535","202","102","412","631"
"3","Alabama A&M","26","13","13",".500","-9.12","-10.43","11","7","9","3","4","9","1917","1872","","","669","1606",".417","159","508",".313","420","654",".642","","1018","324","231","157","424","499"
"4","Alabama-Birmingham","31","24","7",".774","9.64","1.57","12","2","14","1","7","5","2306","2035","","","822","1816",".453","222","647",".343","440","680",".647","","971","482","337","111","395","560"
"5","Alabama State","30","12","18",".400","-12.98","-8.58","10","8","7","4","4","12","1985","2117","","","689","1686",".409","174","559",".311","433","690",".628","","1069","308","179","83","476","639"
"6","Alabama","31","18","13",".581","10.79","8.08","10","6","14","4","3","7","2178","2094","","","758","1662",".456","174","505",".345","488","689",".708","","1135","379","195","152","421","433"
"7","Albany (NY)","32","21","11",".656","-0.44","-4.25","13","3","10","3","8","7","2194","2065","","","743","1660",".448","223","589",".379","485","682",".711","","1077","403","209","81","451","606"
"8","Alcorn State","28","8","20",".286","-15.11","-8.03","8","10","5","4","3","15","1848","2046","","","652","1544",".422","170","526",".323","374","570",".656","","991","337","195","85","512","614"
"9","American","29","12","17",".414","-8.49","-4.32","7","7","7","4","4","12","1850","1971","","","655","1573",".416","165","486",".340","375","543",".691","","1007","379","190","89","452","549"
"10","Appalachian State","30","14","16",".467","-7.61","-4.79","6","8","8","4","4","10","2100","2113","","","731","1703",".429","249","703",".354","389","550",".707","","1032","427","224","112","455","567"
"11","Arizona State","28","11","17",".393","4.36","7.18","5","13","8","9","3","7","1878","1958","","","655","1520",".431","158","418",".378","410","568",".722","","927","403","180","90","422","562"
"12","Arizona","33","20","13",".606","15.12","10.09","11","7","12","2","4","7","2433","2267","","","909","2037",".446","142","445",".319","473","667",".709","","1140","492","322","125","437","549"
