"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","26","8","18",".308","-6.27","2.41","3","15","","","","","1813","","","","613","1489",".412","142","420",".338","445","630",".706","","","281","168","111","",""
"2","Akron","26","8","18",".308","-8.14","-2.22","2","16","","","","","1601","","","","593","1480",".401","104","352",".295","311","500",".622","","","335","213","43","",""
"3","Alabama-Birmingham","30","22","8",".733","14.71","3.51","8","4","","","","","2142","","","","778","1774",".439","201","528",".381","385","566",".680","","","382","230","86","",""
"4","Alabama State","29","19","10",".655","-8.33","-12.09","10","4","","","","","2444","","","","905","1937",".467","106","310",".342","528","793",".666","","","397","221","71","",""
"5","Alabama","30","20","10",".667","10.19","6.06","12","4","","","","","2208","","","","787","1760",".447","158","468",".338","476","723",".658","","","392","238","155","",""
"6","Alcorn State","27","3","24",".111","-25.14","-8.78","3","11","","","","","2015","","","","754","1797",".420","161","438",".368","346","540",".641","","","292","220","48","",""
"7","American","27","8","19",".296","-9.58","-2.18","5","9","","","","","2049","","","","738","1757",".420","153","421",".363","420","641",".655","","","386","223","76","",""
"8","Appalachian State","27","16","11",".593","-2.44","-2.71","12","6","","","","","2070","","","","748","1599",".468","165","446",".370","409","609",".672","","","387","180","120","",""
"9","Arizona State","28","15","13",".536","9.55","7.80","10","8","","","","","2158","","","","759","1729",".439","208","628",".331","432","659",".656","","","387","238","81","",""
"10","Arizona","35","29","6",".829","23.70","8.84","14","4","","","","","3124","","","","1108","2288",".484","279","787",".355","629","884",".712","","","581","285","102","",""
"11","Arkansas-Little Rock","28","13","15",".464","-2.24","-2.99","6","12","","","","","2057","","","","706","1692",".417","150","434",".346","495","716",".691","","","349","235","75","",""
"12","Arkansas State","27","15","12",".556","-0.20","-2.31","10","8","","","","","1839","","","","631","1580",".399","176","557",".316","401","612",".655","","","377","244","88","",""
"13","Arkansas","34","31","3",".912","23.88","7.55","14","2","","","","","3176","","","","1154","2363",".488","301","777",".387","567","834",".680","","","687","352","129","",""
"14","Army","27","7","20",".259","-17.48","-7.60","4","10","","","","","2095","","","","711","1641",".433","161","482",".334","512","751",".682","","","342","163","42","",""
"15","Auburn","28","11","17",".393","7.95","7.17","3","13","","","","","2288","","","","854","1689",".506","182","479",".380","398","610",".652","","","457","129","69","",""
"16","Austin Peay","27","11","16",".407","-8.74","-4.39","10","6","","","","","2156","","","","772","1696",".455","140","372",".376","472","729",".647","","","378","229","106","",""
"17","Ball State","28","16","12",".571","1.28","-0.53","11","7","","","","","2081","","","","784","1610",".487","141","353",".399","372","544",".684","","","452","177","63","",""
"18","Baylor","27","16","11",".593","0.79","-0.99","7","7","","","","","2308","","","","804","1907",".422","178","547",".325","522","765",".682","","","449","154","127","",""
"19","Bethune-Cookman","27","9","18",".333","-17.62","-8.58","8","8","","","","","1916","","","","669","1712",".391","145","475",".305","433","694",".624","","","292","269","69","",""
"20","Boise State","30","17","13",".567","2.03","0.25","7","7","","","","","2174","","","","848","1778",".477","96","318",".302","382","647",".590","","","520","267","143","",""
"21","Boston College","34","23","11",".676","16.80","9.83","11","7","","","","","2658","","","","944","2004",".471","234","579",".404","536","786",".682","","","536","236","70","",""
"22","Boston University","27","11","16",".407","-9.20","-6.98","4","10","","","","","2013","","","","732","1549",".473","142","398",".357","407","644",".632","","","432","194","158","",""
"23","Bowling Green State","28","18","10",".643","4.08","0.08","12","6","","","","","2033","","","","732","1475",".496","128","346",".370","441","636",".693","","","397","203","73","",""
"24","Bradley","31","23","8",".742","2.65","-1.15","14","4","","","","","2140","","","","767","1654",".464","148","433",".342","458","721",".635","","","437","264","79","",""
"25","Brigham Young","32","22","10",".688","7.58","3.52","12","6","","","","","2540","","","","876","1779",".492","141","444",".318","647","880",".735","","","482","219","108","",""
"26","Brown","26","12","14",".462","-12.43","-5.74","6","8","","","","","1684","","","","592","1468",".403","154","414",".372","346","508",".681","","","348","172","72","",""
"27","Bucknell","27","10","17",".370","-9.44","-8.86","6","8","","","","","2243","","","","801","1790",".447","142","474",".300","499","680",".734","","","345","227","122","",""
"28","Buffalo","28","10","18",".357","-13.83","-7.61","3","2","","","","","1972","","","","786","1844",".426","57","224",".254","343","594",".577","","","364","248","125","",""
"29","Butler","29","16","13",".552","1.51","-0.03","6","4","","","","","2167","","","","738","1609",".459","124","349",".355","567","803",".706","","","388","164","42","",""
"30","Cal State Fullerton","27","8","19",".296","-5.35","0.17","6","12","","","","","1943","","","","675","1545",".437","140","414",".338","453","699",".648","","","350","216","70","",""
"31","Cal State Northridge","26","8","18",".308","-10.72","-1.20","","","","","","","1897","","","","675","1524",".443","123","333",".369","424","589",".720","","","378","243","47","",""
"32","UC-Irvine","30","10","20",".333","-4.67","0.43","4","14","","","","","2369","","","","803","1826",".440","234","626",".374","529","813",".651","","","437","255","98","",""
"33","UC-Santa Barbara","30","13","17",".433","-2.80","0.71","9","9","","","","","2008","","","","709","1582",".448","136","400",".340","454","722",".629","","","447","209","108","",""
"34","University of California","30","22","8",".733","14.24","7.14","13","5","","","","","2358","","","","837","1791",".467","175","524",".334","509","760",".670","","","529","258","120","",""
"35","Campbell","29","20","9",".690","-5.00","-8.70","13","5","","","","","2101","","","","752","1702",".442","205","537",".382","392","606",".647","","","486","253","71","",""
"36","Canisius","29","22","7",".759","2.79","-3.59","12","2","","","","","2305","","","","822","1724",".477","206","561",".367","455","649",".701","","","540","248","88","",""
"37","Centenary (LA)","28","16","12",".571","-5.51","-7.86","8","8","","","","","2283","","","","812","1854",".438","226","636",".355","433","676",".641","","","437","287","104","",""
"38","Central Connecticut State","26","4","22",".154","-29.36","-8.28","0","5","","","","","1929","","","","679","1729",".393","210","635",".331","361","564",".640","","","390","246","78","",""
"39","Central Florida","30","21","9",".700","-6.25","-7.82","11","5","","","","","2418","","","","883","1888",".468","141","413",".341","511","752",".680","","","469","214","113","",""
"40","Central Michigan","26","5","21",".192","-12.80","-0.44","4","14","","","","","1494","","","","558","1374",".406","95","287",".331","283","468",".605","","","314","142","89","",""
"41","Charleston Southern","27","9","18",".333","-11.43","-7.01","7","11","","","","","2250","","","","854","1923",".444","152","505",".301","390","575",".678","","","387","293","50","",""
"42","Charlotte","29","16","13",".552","8.15","5.88","7","5","","","","","2018","","","","709","1708",".415","156","475",".328","444","651",".682","","","425","190","159","",""
"43","Chattanooga","30","23","7",".767","1.98","-1.77","14","4","","","","","2451","","","","826","1745",".473","227","597",".380","572","801",".714","","","458","207","80","",""
"44","Chicago State","27","4","23",".148","-21.84","-3.27","2","3","","","","","2116","","","","770","1792",".430","188","551",".341","388","577",".672","","","325","254","56","",""
"45","Cincinnati","32","22","10",".688","15.30","6.18","7","5","","","","","2485","","","","861","2012",".428","253","693",".365","510","744",".685","","","431","252","81","",""
"46","Citadel","27","11","16",".407","-6.58","-3.78","6","12","","","","","1871","","","","680","1569",".433","137","465",".295","374","558",".670","","","326","235","66","",""
"47","Clemson","34","18","16",".529","9.17","6.82","6","10","","","","","2557","","","","910","1984",".459","240","699",".343","497","767",".648","","","553","255","144","",""
"48","Cleveland State","29","14","15",".483","-4.76","-1.76","9","9","","","","","2089","","","","769","1791",".429","106","352",".301","445","694",".641","","","408","215","78","",""
"49","Coastal Carolina","26","15","11",".577","-8.53","-7.36","10","8","","","","","1984","","","","691","1571",".440","222","569",".390","380","544",".699","","","344","188","77","",""
"50","Colgate","29","17","12",".586","-6.28","-9.62","9","5","","","","","2360","","","","812","1824",".445","225","595",".378","511","665",".768","","","404","196","111","",""
"51","College of Charleston","28","24","4",".857","4.54","-5.76","14","2","","","","","2147","","","","779","1574",".495","154","385",".400","435","671",".648","","","435","259","92","",""
"52","Colorado State","28","15","13",".536","4.59","2.09","8","10","","","","","2153","","","","741","1686",".440","212","561",".378","459","637",".721","","","455","219","102","",""
"53","Colorado","27","10","17",".370","0.03","5.29","2","12","","","","","1992","","","","711","1665",".427","88","303",".290","482","731",".659","","","412","202","152","",""
"54","Columbia","26","6","20",".231","-19.13","-7.29","4","10","","","","","1555","","","","562","1379",".408","67","213",".315","364","543",".670","","","348","179","123","",""
"55","Connecticut","34","29","5",".853","22.63","6.31","16","2","","","","","2888","","","","1045","2111",".495","192","520",".369","606","841",".721","","","628","296","215","",""
"56","Coppin State","30","22","8",".733","2.88","-7.09","16","0","","","","","2277","","","","775","1792",".432","255","640",".398","472","648",".728","","","413","290","147","",""
"57","Cornell","26","8","18",".308","-15.15","-4.74","3","11","","","","","1716","","","","638","1524",".419","135","429",".315","305","463",".659","","","360","197","50","",""
"58","Creighton","29","7","22",".241","-9.76","-0.02","3","15","","","","","1898","","","","663","1669",".397","140","454",".308","432","657",".658","","","435","206","72","",""
"59","Dartmouth","26","10","16",".385","-13.25","-7.05","6","8","","","","","1730","","","","638","1436",".444","112","335",".334","342","504",".679","","","389","193","86","",""
"60","Davidson","30","22","8",".733","1.45","-2.91","13","5","","","","","2294","","","","798","1653",".483","169","472",".358","529","704",".751","","","417","211","70","",""
"61","Dayton","27","6","21",".222","-3.32","4.42","1","11","","","","","1945","","","","691","1664",".415","235","698",".337","328","518",".633","","","395","184","35","",""
"62","Delaware State","27","8","19",".296","-20.07","-8.75","5","11","","","","","1929","","","","684","1708",".400","145","518",".280","416","720",".578","","","339","233","79","",""
"63","Delaware","27","14","13",".519","-5.62","-6.18","7","7","","","","","1967","","","","737","1627",".453","162","429",".378","331","492",".673","","","389","169","56","",""
"64","DePaul","28","16","12",".571","11.02","5.84","4","8","","","","","2194","","","","778","1674",".465","123","405",".304","515","726",".709","","","443","204","83","",""
"65","Detroit Mercy","29","16","13",".552","-0.06","1.78","5","5","","","","","2070","","","","718","1652",".435","165","450",".367","469","756",".620","","","365","184","120","",""
"66","Drake","27","11","16",".407","-2.20","0.49","6","12","","","","","2081","","","","737","1687",".437","175","516",".339","432","640",".675","","","370","337","73","",""
"67","Drexel","30","25","5",".833","3.31","-6.17","12","2","","","","","2295","","","","798","1777",".449","204","543",".376","495","785",".631","","","503","156","68","",""
"68","Duke","34","28","6",".824","19.21","8.92","12","4","","","","","2639","","","","950","1953",".486","172","471",".365","567","797",".711","","","529","243","204","",""
"69","Duquesne","30","17","13",".567","6.35","5.75","8","8","","","","","2159","","","","759","1693",".448","137","429",".319","504","814",".619","","","414","222","150","",""
"70","East Carolina","27","15","12",".556","0.10","-3.68","7","7","","","","","1992","","","","725","1672",".434","171","482",".355","371","551",".673","","","410","223","74","",""
"71","East Tennessee State","30","16","14",".533","-0.75","-1.50","13","5","","","","","2512","","","","925","2104",".440","190","626",".304","472","788",".599","","","366","330","88","",""
"72","Eastern Illinois","27","12","15",".444","-9.31","-4.24","7","11","","","","","1852","","","","669","1560",".429","108","378",".286","406","622",".653","","","359","200","62","",""
"73","Eastern Kentucky","27","13","14",".481","-3.83","-3.79","9","7","","","","","2223","","","","799","1770",".451","187","499",".375","438","596",".735","","","381","229","70","",""
"74","Eastern Michigan","27","15","12",".556","-1.69","-0.61","10","8","","","","","2065","","","","760","1672",".455","158","431",".367","387","607",".638","","","412","223","45","",""
"75","Eastern Washington","26","5","21",".192","-15.61","0.39","0","14","","","","","1749","","","","643","1505",".427","115","344",".334","348","558",".624","","","326","182","69","",""
"76","Evansville","32","21","11",".656","5.87","-1.57","6","4","","","","","2451","","","","843","1757",".480","244","570",".428","521","753",".692","","","570","152","71","",""
"77","Fairfield","27","8","19",".296","-8.27","-2.20","4","10","","","","","1929","","","","711","1562",".455","156","419",".372","351","544",".645","","","361","177","96","",""
"78","Fairleigh Dickinson","27","14","13",".519","-7.38","-5.80","10","8","","","","","1938","","","","676","1570",".431","137","431",".318","449","748",".600","","","289","163","80","",""
"79","Florida A&M","27","4","23",".148","-21.88","-8.07","2","14","","","","","1718","","","","608","1642",".370","118","445",".265","384","660",".582","","","223","205","67","",""
"80","Florida Atlantic","27","3","24",".111","-18.64","-0.52","0","0","","","","","1863","","","","687","1665",".413","120","371",".323","369","547",".675","","","283","209","72","",""
"81","Florida International","27","11","16",".407","-7.37","-5.37","7","9","","","","","1855","","","","658","1520",".433","126","408",".309","413","686",".602","","","385","214","54","",""
"82","Florida State","27","13","14",".481","9.37","7.22","6","10","","","","","2078","","","","760","1713",".444","166","520",".319","392","598",".656","","","377","231","110","",""
"83","Florida","37","29","8",".784","16.11","9.01","12","4","","","","","2777","","","","985","2170",".454","196","545",".360","611","867",".705","","","529","305","145","",""
"84","Fordham","27","12","15",".444","-10.60","-7.14","9","5","","","","","1922","","","","695","1520",".457","81","251",".323","451","621",".726","","","366","179","96","",""
"85","Fresno State","32","21","11",".656","5.38","3.00","13","5","","","","","2412","","","","850","1749",".486","217","579",".375","495","698",".709","","","590","251","89","",""
"86","Furman","28","10","18",".357","-8.68","-2.94","6","12","","","","","2014","","","","756","1642",".460","169","483",".350","333","549",".607","","","444","223","76","",""
"87","George Mason","27","10","17",".370","-9.91","-4.21","5","9","","","","","2385","","","","880","2090",".421","196","614",".319","429","682",".629","","","406","250","88","",""
"88","George Washington","30","18","12",".600","9.28","6.38","8","8","","","","","2078","","","","724","1777",".407","183","549",".333","447","691",".647","","","392","234","128","",""
"89","Georgetown","31","19","12",".613","17.42","12.07","10","8","","","","","2264","","","","766","1783",".430","132","422",".313","600","849",".707","","","426","263","132","",""
"90","Georgia Southern","28","14","14",".500","-4.74","-3.29","9","9","","","","","2111","","","","804","1891",".425","181","524",".345","322","501",".643","","","349","259","53","",""
"91","Georgia State","27","13","14",".481","-7.24","-7.78","9","7","","","","","1990","","","","736","1627",".452","62","229",".271","456","740",".616","","","399","227","108","",""
"92","Georgia Tech","29","16","13",".552","11.44","9.03","7","9","","","","","2200","","","","807","1793",".450","187","525",".356","399","572",".698","","","501","217","96","",""
"93","Georgia","30","14","16",".467","10.46","7.46","7","9","","","","","2396","","","","894","1885",".474","167","460",".363","441","732",".602","","","482","244","133","",""
"94","Gonzaga","30","22","8",".733","7.88","0.13","12","2","","","","","2449","","","","862","1754",".491","186","460",".404","539","746",".723","","","425","202","59","",""
"95","Grambling","27","9","18",".333","-20.83","-10.35","4","10","","","","","2186","","","","845","1871",".452","84","284",".296","412","640",".644","","","465","247","52","",""
"96","Green Bay","34","27","7",".794","9.80","-1.88","15","3","","","","","2258","","","","824","1681",".490","148","396",".374","462","607",".761","","","583","249","84","",""
"97","Hartford","28","16","12",".571","-2.53","-4.78","9","5","","","","","2139","","","","749","1768",".424","119","347",".343","522","744",".702","","","355","303","92","",""
"98","Harvard","26","9","17",".346","-12.43","-8.75","5","9","","","","","1769","","","","652","1541",".423","125","409",".306","340","529",".643","","","380","285","60","",""
"99","Hawaii","33","18","15",".545","1.62","4.14","11","7","","","","","2377","","","","876","2003",".437","201","555",".362","424","649",".653","","","526","193","128","",""
"100","Hofstra","29","9","20",".310","-17.58","-8.72","1","4","","","","","1968","","","","700","1555",".450","59","215",".274","509","753",".676","","","387","249","81","",""
"101","Holy Cross","28","14","14",".500","-10.51","-6.37","9","5","","","","","2343","","","","788","1853",".425","168","497",".338","599","904",".663","","","392","278","142","",""
"102","Houston","27","8","19",".296","-4.15","1.37","5","9","","","","","2074","","","","726","1733",".419","156","458",".341","466","665",".701","","","420","261","67","",""
"103","Howard","27","10","17",".370","-13.49","-9.37","7","9","","","","","1926","","","","662","1612",".411","118","368",".321","484","821",".590","","","301","168","179","",""
"104","Idaho State","27","18","9",".667","1.15","-1.31","10","4","","","","","2228","","","","750","1636",".458","147","450",".327","581","859",".676","","","404","272","73","",""
"105","Idaho","28","18","10",".643","1.53","-1.31","9","5","","","","","2036","","","","747","1656",".451","138","420",".329","404","637",".634","","","396","151","116","",""
"106","Illinois-Chicago","29","20","9",".690","3.49","-3.34","14","4","","","","","2466","","","","892","1935",".461","220","599",".367","462","639",".723","","","414","302","108","",""
"107","Illinois State","27","16","11",".593","4.05","0.68","12","6","","","","","1993","","","","699","1550",".451","145","434",".334","450","682",".660","","","478","189","57","",""
"108","Illinois","28","17","11",".607","18.96","9.75","10","8","","","","","2353","","","","833","1739",".479","162","436",".372","525","732",".717","","","483","171","79","",""
"109","Indiana State","26","4","22",".154","-10.99","0.36","3","15","","","","","1639","","","","570","1401",".407","85","270",".315","414","624",".663","","","332","166","86","",""
"110","Indiana","30","21","9",".700","15.92","12.05","12","6","","","","","2428","","","","832","1720",".484","182","401",".454","582","776",".750","","","523","183","125","",""
"111","Iona","27","7","20",".259","-11.84","-4.43","3","11","","","","","2025","","","","740","1601",".462","73","257",".284","472","655",".721","","","419","180","106","",""
"112","Iowa State","27","14","13",".519","14.01","6.16","4","10","","","","","2298","","","","812","1644",".494","153","421",".363","521","687",".758","","","498","228","97","",""
"113","Iowa","27","11","16",".407","11.42","9.68","5","13","","","","","2254","","","","781","1754",".445","164","510",".322","528","807",".654","","","477","303","76","",""
"114","Jackson State","29","19","10",".655","-3.10","-8.92","11","3","","","","","2352","","","","887","1910",".464","124","396",".313","454","690",".658","","","493","217","139","",""
"115","Jacksonville","28","17","11",".607","0.28","-2.47","11","7","","","","","2174","","","","765","1735",".441","166","435",".382","478","733",".652","","","385","231","108","",""
"116","James Madison","30","20","10",".667","2.20","-1.41","10","4","","","","","2498","","","","890","1783",".499","200","505",".396","518","722",".717","","","447","171","113","",""
"117","Kansas State","34","20","14",".588","8.58","6.53","4","10","","","","","2406","","","","842","2080",".405","246","710",".346","476","717",".664","","","440","282","42","",""
"118","Kansas","35","27","8",".771","20.69","8.60","9","5","","","","","2817","","","","1026","2181",".470","201","530",".379","564","893",".632","","","628","277","192","",""
"119","Kent State","27","13","14",".481","-2.46","-1.17","8","10","","","","","1792","","","","609","1415",".430","140","370",".378","434","611",".710","","","364","141","70","",""
"120","Kentucky","34","27","7",".794","21.56","9.41","12","4","","","","","2952","","","","1027","2195",".468","301","857",".351","597","875",".682","","","648","394","195","",""
"121","La Salle","27","11","16",".407","-0.88","2.89","4","6","","","","","1945","","","","683","1694",".403","207","647",".320","372","561",".663","","","354","227","53","",""
"122","Lafayette","28","9","19",".321","-14.05","-7.98","4","10","","","","","2127","","","","765","1766",".433","147","449",".327","450","666",".676","","","372","179","67","",""
"123","Lamar","27","10","17",".370","-5.01","-0.41","6","12","","","","","2015","","","","696","1638",".425","179","505",".354","444","636",".698","","","375","217","31","",""
"124","Lehigh","27","10","17",".370","-15.72","-8.34","6","8","","","","","2094","","","","763","1634",".467","108","305",".354","460","664",".693","","","411","204","94","",""
"125","Liberty","30","18","12",".600","-6.62","-6.98","12","6","","","","","2152","","","","743","1662",".447","211","573",".368","455","636",".715","","","479","173","125","",""
"126","Long Beach State","27","17","10",".630","0.41","-0.19","11","7","","","","","2167","","","","753","1573",".479","165","479",".344","496","730",".679","","","422","223","103","",""
"127","Long Island University","27","3","24",".111","-21.97","-5.56","2","16","","","","","1962","","","","669","1785",".375","127","450",".282","497","757",".657","","","308","322","76","",""
"128","Louisiana-Lafayette","30","22","8",".733","5.70","-1.02","13","5","","","","","2264","","","","807","1810",".446","204","582",".351","446","618",".722","","","418","275","90","",""
"129","Louisiana-Monroe","28","19","9",".679","-3.56","-6.82","15","3","","","","","2295","","","","852","1793",".475","223","632",".353","368","545",".675","","","469","277","74","",""
"130","Louisiana State","27","11","16",".407","7.21","8.47","5","11","","","","","2161","","","","776","1808",".429","184","564",".326","425","651",".653","","","371","271","68","",""
"131","Louisiana Tech","27","2","25",".074","-19.24","0.03","0","18","","","","","1637","","","","622","1626",".383","77","274",".281","316","519",".609","","","272","189","42","",""
"132","Louisville","34","28","6",".824","18.71","7.35","10","2","","","","","2726","","","","998","2047",".488","224","611",".367","506","795",".636","","","564","291","168","",""
"133","Loyola (IL)","27","8","19",".296","-8.01","0.41","1","9","","","","","1848","","","","708","1590",".445","119","382",".312","313","534",".586","","","400","201","80","",""
"134","Loyola Marymount","27","6","21",".222","-8.73","1.98","4","10","","","","","2132","","","","746","1653",".451","161","502",".321","479","687",".697","","","399","194","106","",""
"135","Loyola (MD)","30","17","13",".567","-3.04","-3.01","6","8","","","","","2359","","","","811","1843",".440","175","523",".335","562","817",".688","","","467","263","49","",""
"136","Maine","29","20","9",".690","-2.14","-6.69","11","3","","","","","2414","","","","913","2022",".452","119","369",".322","469","732",".641","","","476","309","103","",""
"137","Manhattan","30","20","10",".667","5.53","-3.14","10","4","","","","","2262","","","","820","1787",".459","171","466",".367","451","654",".690","","","431","243","107","",""
"138","Marist","27","14","13",".519","-7.09","-8.09","10","8","","","","","2112","","","","711","1636",".435","154","458",".336","536","736",".728","","","351","197","105","",""
"139","Marquette","33","24","9",".727","15.64","8.02","10","2","","","","","2298","","","","819","1818",".450","204","525",".389","456","674",".677","","","580","164","196","",""
"140","Marshall","27","9","18",".333","-12.12","-2.04","7","11","","","","","1990","","","","737","1662",".443","146","477",".306","370","554",".668","","","290","242","76","",""
"141","Maryland-Baltimore County","27","6","21",".222","-13.38","-5.61","5","13","","","","","1969","","","","700","1668",".420","153","441",".347","416","641",".649","","","354","207","123","",""
"142","Maryland-Eastern Shore","28","16","12",".571","-12.74","-11.38","10","6","","","","","2050","","","","754","1683",".448","134","371",".361","408","633",".645","","","346","233","91","",""
"143","Maryland","30","18","12",".600","14.07","7.34","8","8","","","","","2399","","","","868","1901",".457","141","401",".352","522","766",".681","","","502","303","176","",""
