"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","26","10","16",".385","-4.00","2.53","2","12","","","","","1981","2085","","","629","1703",".369","233","738",".316","490","700",".700","","1086","281","209","79","","585"
"2","Akron","27","18","9",".667","5.15","1.11","12","6","","","","","2031","1905","","","676","1497",".452","160","439",".364","519","692",".750","","880","386","217","69","","462"
"3","Alabama-Birmingham","32","20","12",".625","8.87","5.40","10","6","","","","","2368","2257","","","855","1889",".453","155","480",".323","503","740",".680","","1237","465","293","88","","631"
"4","Alabama State","27","11","16",".407","-15.31","-9.83","8","8","","","","","1815","1891","","","619","1496",".414","124","397",".312","453","703",".644","","1045","296","243","62","","485"
"5","Alabama","32","17","15",".531","5.73","6.66","6","10","","","","","2144","2174","","","782","1810",".432","134","400",".335","446","626",".712","","1215","383","233","115","","626"
"6","Alcorn State","30","23","7",".767","-2.88","-10.48","14","2","","","","","2274","2007","","","796","1902",".419","186","576",".323","496","772",".642","","1365","404","329","118","","593"
"7","American","28","7","21",".250","-8.95","-1.60","2","14","","","","","1805","1951","","","663","1694",".391","119","400",".298","360","566",".636","","1132","322","235","100","","493"
"8","Appalachian State","29","21","8",".724","-0.48","-5.32","13","3","","","","","2168","1916","","","776","1661",".467","137","371",".369","479","714",".671","","1076","465","307","102","","546"
"9","Arizona State","30","14","16",".467","9.04","8.25","6","12","","","","","2236","2167","","","804","1820",".442","177","532",".333","451","648",".696","","1101","512","249","77","","595"
"10","Arizona","29","22","7",".759","15.28","8.31","13","5","","","","","2383","2181","","","820","1754",".468","143","409",".350","600","845",".710","","1208","419","213","93","","522"
"11","Arkansas-Little Rock","27","12","15",".444","-7.74","-2.94","5","9","","","","","1790","1904","","","648","1391",".466","174","458",".380","320","463",".691","","861","343","128","62","","381"
"12","Arkansas-Pine Bluff","27","3","24",".111","-27.20","-8.07","1","15","","","","","1891","2313","","","728","1839",".396","123","457",".269","312","530",".589","","1008","347","256","100","","543"
"13","Arkansas State","30","18","12",".600","3.31","-0.72","9","5","","","","","2206","2061","","","798","1748",".457","159","488",".326","451","655",".689","","1028","447","265","103","","580"
"14","Arkansas","34","23","11",".676","12.83","6.01","9","7","","","","","2675","2443","","","980","2206",".444","296","808",".366","419","632",".663","","1266","563","332","147","","633"
"15","Army","27","8","19",".296","-22.35","-6.51","4","8","","","","","1615","1968","","","570","1460",".390","133","413",".322","342","477",".717","","839","304","207","70","","589"
"16","Auburn","33","29","4",".879","24.54","4.93","14","2","","","","","2680","2033","","","974","2245",".434","234","672",".348","498","766",".650","","1452","461","327","112","","628"
"17","Austin Peay","27","11","16",".407","-7.86","-4.94","9","9","","","","","1959","2037","","","711","1547",".460","168","491",".342","369","557",".662","","958","370","186","93","","463"
"18","Ball State","27","16","11",".593","1.57","1.38","10","8","","","","","1798","1760","","","634","1548",".410","147","434",".339","381","583",".654","","974","321","209","79","","465"
"19","Baylor","30","6","24",".200","-5.64","3.46","0","16","","","","","1846","2107","","","644","1703",".378","163","565",".288","395","602",".656","","1083","308","217","104","","612"
"20","Bethune-Cookman","27","11","16",".407","-12.37","-9.08","10","9","","","","","1791","1879","","","634","1440",".440","107","366",".292","416","600",".693","","900","365","214","71","","501"
"21","Boise State","29","21","8",".724","2.86","-3.25","12","4","","","","","1987","1790","","","682","1478",".461","172","468",".368","451","635",".710","","880","387","277","91","","586"
"22","Boston College","27","6","21",".222","-1.22","7.78","3","15","","","","","1689","1932","","","622","1521",".409","155","462",".335","290","438",".662","","845","314","260","70","","527"
"23","Boston University","27","9","18",".333","-9.35","-6.09","5","13","","","","","1736","1824","","","608","1476",".412","161","482",".334","359","568",".632","","962","383","185","52","","590"
"24","Bowling Green State","28","18","10",".643","6.89","2.43","12","6","","","","","1980","1824","","","691","1506",".459","132","406",".325","466","642",".726","","940","380","252","84","","560"
"25","Bradley","29","17","12",".586","6.82","5.13","11","7","","","","","1824","1775","","","616","1437",".429","173","468",".370","419","606",".691","","963","337","249","113","","569"
"26","Brigham Young","28","12","16",".429","2.65","4.29","6","8","","","","","2009","2055","","","671","1487",".451","176","474",".371","491","677",".725","","1014","359","188","87","","585"
"27","Brown","26","4","22",".154","-18.99","-7.26","2","12","","","","","1578","1883","","","550","1350",".407","143","446",".321","335","447",".749","","758","292","149","46","","468"
"28","Bucknell","29","16","13",".552","-5.30","-7.82","9","3","","","","","1939","1779","","","673","1529",".440","164","511",".321","429","642",".668","","1050","409","239","117","","570"
"29","Buffalo","29","5","24",".172","-15.04","0.54","1","17","","","","","1709","2141","","","605","1637",".370","148","531",".279","351","522",".672","","1047","373","191","105","","551"
"30","Butler","32","22","10",".688","5.04","1.40","11","3","","","","","2032","1921","","","690","1569",".440","123","380",".324","529","767",".690","","1035","440","231","57","","553"
"31","Cal Poly","27","11","16",".407","-7.06","-3.90","6","10","","","","","2293","2298","","","785","1801",".436","255","724",".352","468","639",".732","","1010","411","222","58","","511"
"32","Cal State Fullerton","27","13","14",".481","-7.99","-2.72","7","9","","","","","1891","1998","","","649","1500",".433","158","461",".343","435","647",".672","","964","365","180","79","","518"
"33","Cal State Northridge","29","17","12",".586","0.79","-1.58","9","7","","","","","2378","2235","","","856","1828",".468","202","570",".354","464","702",".661","","1052","515","310","78","","627"
"34","UC-Irvine","26","6","20",".231","-8.42","-1.63","2","14","","","","","1692","1821","","","590","1358",".434","177","482",".367","335","480",".698","","798","346","173","65","","545"
