"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","35","26","9",".743","15.19","3.34","10","6","17","1","6","5","2414","1960","","","815","1662",".490","316","789",".401","468","620",".755","","969","533","234","57","359","526"
"2","Akron","33","26","7",".788","10.90","-1.90","13","3","13","1","10","4","2485","2014","","","900","1857",".485","245","624",".393","440","657",".670","","1159","503","267","141","414","611"
"3","Alabama A&M","30","10","20",".333","-23.55","-12.38","4","14","9","5","0","13","1856","2052","","","653","1690",".386","150","555",".270","400","633",".632","","1071","324","224","236","539","600"
"4","Alabama-Birmingham","31","15","16",".484","3.97","3.83","7","9","9","4","5","9","2051","2016","","","707","1663",".425","204","612",".333","433","711",".609","","1095","348","207","107","428","523"
"5","Alabama State","30","10","20",".333","-17.90","-11.54","8","10","7","5","3","11","1826","2007","","","601","1650",".364","177","580",".305","447","690",".648","","1031","283","183","83","421","607"
"6","Alabama","32","20","12",".625","10.81","6.24","7","9","14","2","2","9","2369","2223","","","844","1849",".456","209","563",".371","472","667",".708","","1242","420","181","170","441","460"
"7","Albany (NY)","33","23","10",".697","-1.60","-4.75","13","3","11","2","11","7","2241","2147","","","798","1762",".453","227","607",".374","418","579",".722","","1112","436","191","82","437","634"
"8","Alcorn State","30","11","19",".367","-22.48","-13.23","10","8","8","3","3","12","2012","2265","","","705","1706",".413","146","508",".287","456","678",".673","","1077","283","196","82","561","719"
"9","American","30","16","14",".533","-2.68","-4.38","7","7","10","3","6","11","1945","1865","","","678","1584",".428","172","502",".343","417","572",".729","","1037","404","173","71","414","563"
"10","Appalachian State","33","25","8",".758","4.68","-1.19","15","3","12","1","9","6","2508","2239","","","914","1909",".479","252","693",".364","428","622",".688","","1146","516","285","121","487","594"
"11","Arizona State","30","8","22",".267","3.31","7.95","2","16","7","11","1","10","1755","1853","","","633","1535",".412","196","616",".318","293","447",".655","","975","392","181","60","434","538"
"12","Arizona","31","20","11",".645","16.24","10.76","11","7","11","5","7","4","2417","2247","","","846","1770",".478","172","505",".341","553","737",".750","","1158","511","189","103","427","425"
"13","Arkansas-Little Rock","30","13","17",".433","-9.87","-5.56","8","10","7","6","5","11","1979","2075","","","680","1590",".428","165","518",".319","454","678",".670","","1068","393","157","73","449","549"
"14","Arkansas-Pine Bluff","31","12","19",".387","-17.21","-10.86","9","9","7","3","4","15","1862","2022","","","690","1750",".394","115","425",".271","367","587",".625","","1161","300","198","131","486","578"
"15","Arkansas State","30","15","15",".500","-6.47","-5.63","11","7","11","2","5","10","2392","2375","","","831","1820",".457","241","608",".396","489","718",".681","","1176","457","196","123","508","653"
"16","Arkansas","35","21","14",".600","13.77","8.75","7","9","13","3","2","8","2487","2311","","","881","1910",".461","212","613",".346","513","730",".703","","1233","521","240","221","532","612"
"17","Army","31","15","16",".484","-9.06","-4.52","4","10","10","4","3","12","1896","1892","","","664","1535",".433","187","473",".395","381","547",".697","","971","412","221","88","501","593"
"18","Auburn","32","17","15",".531","6.77","7.47","7","9","15","5","2","7","2340","2307","","","851","1876",".454","235","701",".335","403","639",".631","","1164","532","270","130","526","613"
"19","Austin Peay","33","21","12",".636","-3.45","-5.09","16","4","13","2","7","9","2310","2211","","","797","1795",".444","207","593",".349","509","746",".682","","1097","439","255","96","435","580"
"20","Ball State","31","9","22",".290","-4.47","1.03","5","11","7","7","2","11","1848","1974","","","645","1676",".385","125","459",".272","433","623",".695","","1012","320","242","74","419","644"
"21","Baylor","31","15","16",".484","5.42","3.88","4","12","13","5","0","9","2333","2262","","","825","1793",".460","252","694",".363","431","641",".672","","1123","434","184","116","451","625"
"22","Belmont","33","23","10",".697","-0.39","-4.71","14","4","9","2","10","6","2390","2128","","","848","1836",".462","288","811",".355","406","587",".692","","1228","513","201","105","528","605"
"23","Bethune-Cookman","30","9","21",".300","-20.71","-9.53","6","12","6","7","3","13","1631","1925","","","578","1485",".389","136","447",".304","339","553",".613","","950","321","198","92","485","574"
"24","Binghamton","29","13","16",".448","-8.06","-6.96","6","10","7","6","5","9","1905","1918","","","673","1592",".423","214","611",".350","345","505",".683","","966","302","216","59","416","586"
"25","Boise State","31","17","14",".548","3.00","0.00","8","8","13","2","3","11","2360","2234","","","837","1828",".458","220","649",".339","466","705",".661","","1190","457","208","108","475","538"
"26","Boston College","33","21","12",".636","13.76","9.21","10","6","14","4","5","6","2453","2303","","","842","1763",".478","196","562",".349","573","791",".724","","1142","483","188","191","455","505"
"27","Boston University","30","12","18",".400","-4.62","-4.65","8","8","7","7","5","10","1802","1801","","","622","1480",".420","208","577",".360","350","517",".677","","959","343","162","103","425","573"
"28","Bowling Green State","31","13","18",".419","-5.48","-1.08","3","13","8","7","3","10","2062","2137","","","730","1661",".439","209","597",".350","393","581",".676","","999","453","230","114","440","717"
"29","Bradley","35","22","13",".629","10.89","7.22","10","8","14","3","5","8","2616","2475","","","924","2011",".459","349","831",".420","419","618",".678","","1046","544","291","82","399","647"
"30","Brigham Young","34","25","9",".735","11.38","3.95","13","3","17","0","6","7","2654","2347","","","972","1981",".491","256","617",".415","454","688",".660","","1273","542","205","118","456","662"
"31","Brown","29","11","18",".379","-7.03","-4.21","6","8","6","4","4","12","1759","1840","","","539","1250",".431","204","552",".370","477","643",".742","","759","357","209","75","447","534"
"32","Bucknell","31","22","9",".710","2.84","-3.03","13","1","10","2","11","6","1965","1791","","","662","1415",".468","188","508",".370","453","627",".722","","953","427","196","47","456","532"
"33","Buffalo","31","12","19",".387","-3.92","-0.15","4","12","8","7","2","11","2109","2226","","","712","1734",".411","165","523",".315","520","752",".691","","1186","427","237","79","592","661"
"34","Butler","36","29","7",".806","14.34","3.94","13","3","14","2","8","4","2434","2056","","","780","1792",".435","321","871",".369","553","728",".760","","1068","437","195","64","341","688"
"35","Cal Poly","30","19","11",".633","-2.33","-3.83","9","5","12","2","5","7","2265","2160","","","806","1733",".465","280","713",".393","373","583",".640","","1056","430","201","99","388","517"
"36","Cal State Fullerton","30","20","10",".667","-1.91","-5.30","9","5","12","2","7","7","2462","2291","","","905","1973",".459","247","673",".367","405","629",".644","","1180","519","204","65","463","584"
"37","Cal State Northridge","31","14","17",".452","-6.12","-1.88","5","9","10","5","2","11","2340","2353","","","831","1852",".449","168","509",".330","510","716",".712","","1204","453","278","77","592","771"
"38","UC-Irvine","33","15","18",".455","-3.77","-1.43","6","8","9","3","3","13","2186","2210","","","756","1673",".452","202","561",".360","472","652",".724","","1168","430","144","135","538","603"
"39","UC-Riverside","31","7","24",".226","-15.19","-3.08","1","13","4","8","2","14","1991","2249","","","730","1832",".398","219","665",".329","312","454",".687","","998","365","240","46","424","563"
"40","UC-Santa Barbara","29","18","11",".621","-0.81","-3.47","9","5","8","6","10","4","2065","1955","","","728","1550",".470","184","497",".370","425","586",".725","","1005","402","180","88","402","472"
"41","University of California","33","16","17",".485","8.64","8.67","6","12","8","7","3","8","2293","2281","","","822","1850",".444","249","693",".359","400","520",".769","","1018","447","151","63","385","559"
"42","Campbell","31","14","17",".452","-10.88","-5.42","7","11","12","3","1","13","2433","2446","","","810","1806",".449","236","692",".341","577","799",".722","","1109","509","300","93","553","601"
"43","Canisius","31","12","19",".387","-8.22","-5.16","6","12","4","9","7","9","2154","2249","","","776","1839",".422","214","638",".335","388","596",".651","","1149","408","217","76","511","634"
"44","Centenary (LA)","31","10","21",".323","-9.17","-2.62","3","11","8","5","1","13","2125","2328","","","754","1715",".440","175","504",".347","442","617",".716","","933","414","247","62","476","668"
"45","Central Connecticut State","34","22","12",".647","-3.63","-6.48","16","2","13","4","9","5","2344","2247","","","790","1822",".434","262","688",".381","502","688",".730","","1180","424","204","115","481","544"
"46","Central Florida","31","22","9",".710","4.74","-1.48","11","5","15","1","5","6","2258","2020","","","762","1621",".470","239","606",".394","495","684",".724","","1078","467","237","108","483","607"
"47","Central Michigan","31","13","18",".419","-5.34","-0.60","7","9","6","7","5","9","2035","2182","","","653","1559",".419","209","572",".365","520","717",".725","","978","305","233","79","543","741"
"48","Charleston Southern","30","8","22",".267","-15.08","-3.04","2","12","8","5","0","15","2043","2198","","","756","1722",".439","206","607",".339","325","509",".639","","1069","423","209","56","470","514"
"49","Charlotte","30","14","16",".467","-0.29","1.38","7","9","10","4","2","10","2101","2151","","","700","1736",".403","261","786",".332","440","628",".701","","1074","368","164","63","382","588"
"50","Chattanooga","33","15","18",".455","-5.94","-2.18","6","12","9","7","4","8","2261","2256","","","775","1804",".430","247","726",".340","464","733",".633","","1216","438","179","59","531","580"
"51","Chicago State","29","9","20",".310","-6.59","1.30","","","3","3","4","16","2110","2252","","","764","1724",".443","191","528",".362","391","549",".712","","940","384","243","102","410","578"
"52","Cincinnati","30","11","19",".367","3.80","6.97","2","14","10","8","0","9","1937","2032","","","705","1739",".405","186","604",".308","341","516",".661","","1005","376","230","58","379","565"
"53","Citadel","30","7","23",".233","-14.84","-0.81","4","14","5","9","2","13","1758","2041","","","637","1548",".411","187","595",".314","297","469",".633","","903","346","206","31","441","517"
