"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","26","7","19",".269","-4.94","1.15","2","14","","","","","1766","1875","","","637","1519",".419","134","436",".307","358","575",".623","","1005","350","155","40","0","534"
"2","Akron","26","8","18",".308","-1.18","0.98","6","12","","","","","1833","1870","","","677","1585",".427","121","402",".301","358","514",".696","","869","407","220","78","0","478"
"3","Alabama-Birmingham","32","18","14",".563","3.06","2.06","7","7","","","","","2142","2110","","","750","1844",".407","189","544",".347","453","699",".648","","1206","342","232","103","0","660"
"4","Alabama State","29","8","21",".276","-21.80","-8.33","5","9","","","","","1839","2220","","","649","1637",".396","140","444",".315","401","647",".620","","1050","276","227","20","0","492"
"5","Alabama","31","17","14",".548","9.67","6.04","6","10","","","","","2166","2006","","","749","1838",".408","247","671",".368","421","576",".731","","1225","363","199","101","57","536"
"6","Alcorn State","28","11","17",".393","-15.54","-10.17","8","6","","","","","2021","2140","","","712","1630",".437","117","362",".323","480","751",".639","","1134","419","192","107","0","589"
"7","American","27","11","16",".407","-5.18","-0.41","7","9","","","","","1831","1920","","","639","1557",".410","156","477",".327","397","589",".674","","952","268","201","65","0","481"
"8","Appalachian State","28","14","14",".500","-5.91","-4.91","8","6","","","","","1990","1954","","","718","1485",".484","178","453",".393","376","563",".668","","901","397","185","105","0","475"
"9","Arizona State","30","10","20",".333","2.08","7.04","2","16","","","","","2181","2233","","","830","1953",".425","188","562",".335","333","501",".665","","1041","533","299","172","91","549"
"10","Arizona","34","25","9",".735","21.60","10.98","11","7","","","","","2852","2491","","","1016","2241",".453","222","600",".370","598","913",".655","","1377","567","358","100","389","654"
"11","Arkansas-Little Rock","29","18","11",".621","-1.57","-4.09","11","7","","","","","2155","2014","","","757","1742",".435","168","512",".328","473","722",".655","","1215","438","131","99","0","545"
"12","Arkansas State","27","15","12",".556","-5.48","-4.48","8","10","","","","","1988","1970","","","723","1620",".446","126","401",".314","416","627",".663","","962","396","194","107","0","509"
"13","Arkansas","32","18","14",".563","14.68","6.99","8","8","","","","","2527","2281","","","919","2078",".442","274","736",".372","415","611",".679","","1155","509","318","124","77","638"
"14","Army","26","10","16",".385","-16.77","-8.65","4","8","","","","","1821","1943","","","612","1490",".411","188","537",".350","409","562",".728","","936","333","168","49","0","553"
"15","Auburn","31","16","15",".516","5.36","5.36","6","10","","","","","2056","2017","","","730","1759",".415","212","703",".302","384","596",".644","","1150","387","245","103","0","569"
"16","Austin Peay","31","17","14",".548","-5.00","-7.31","12","6","","","","","2398","2278","","","841","1814",".464","228","620",".368","488","728",".670","","1112","425","225","121","59","517"
"17","Ball State","29","16","13",".552","1.79","1.47","9","9","","","","","2157","2144","","","779","1741",".447","136","403",".337","463","708",".654","","998","425","263","60","124","512"
"18","Baylor","30","18","12",".600","4.39","2.98","6","10","","","","","2149","2075","","","776","1802",".431","227","680",".334","370","651",".568","","1107","437","212","134","72","609"
"19","Bethune-Cookman","28","12","16",".429","-12.05","-9.38","9","9","","","","","1993","2009","","","692","1606",".431","191","574",".333","418","631",".662","","872","347","227","93","0","525"
"20","Boise State","27","14","13",".519","3.08","-0.77","9","7","","","","","1782","1678","","","622","1421",".438","223","613",".364","315","445",".708","","758","382","256","70","0","542"
"21","Boston College","31","22","9",".710","11.94","6.71","12","6","","","","","2305","2143","","","780","1724",".452","190","512",".371","555","790",".703","","1194","408","240","87","0","568"
"22","Boston University","30","25","5",".833","2.53","-2.84","17","1","","","","","2020","1859","","","725","1676",".433","166","555",".299","404","600",".673","","1105","446","227","136","0","543"
"23","Bowling Green State","32","22","10",".688","8.49","1.56","13","5","","","","","2643","2378","","","975","2033",".480","204","584",".349","489","687",".712","","1034","523","378","114","103","657"
