"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Air Force","28","8","20",".286","-5.07","2.58","4","10","","","","","1889","2046","","","654","1673",".391","184","590",".312","397","610",".651","","1009","336","243","53","","587"
"2","Akron","28","17","11",".607","3.44","1.32","11","7","","","","","2126","2009","","","705","1574",".448","131","406",".323","585","767",".763","","981","431","226","89","","505"
"3","Alabama A&M","28","18","10",".643","-12.27","-12.07","14","4","","","","","2126","2036","","","764","1929",".396","168","550",".305","430","661",".651","","1196","386","366","99","","548"
"4","Alabama-Birmingham","28","14","14",".500","3.41","4.94","7","9","","","","","2053","2096","","","737","1771",".416","145","466",".311","434","664",".654","","1197","365","257","87","",""
"5","Alabama State","28","13","15",".464","-16.56","-12.35","10","8","","","","","1867","1931","","","648","1551",".418","144","446",".323","429","672",".638","","1045","341","238","83","","473"
"6","Alabama","29","13","16",".448","7.44","7.62","6","10","","","","","2094","2099","","","715","1665",".429","186","540",".344","478","673",".710","","1212","312","184","120","",""
"7","Albany (NY)","28","11","17",".393","-15.51","-9.59","","","","","","","1828","1920","","","663","1545",".429","236","649",".364","266","385",".691","","859","402","234","111","","493"
"8","Alcorn State","29","19","10",".655","-9.90","-11.60","15","3","","","","","2161","2036","","","767","1727",".444","135","455",".297","458","654",".700","","1177","410","300","71","","555"
"9","American","29","11","18",".379","-6.13","-3.42","5","11","","","","","1904","1962","","","714","1778",".402","118","411",".287","358","566",".633","","1103","376","274","118","","561"
"10","Appalachian State","32","23","9",".719","2.49","-3.75","13","3","","","","","2530","2228","","","915","1882",".486","200","515",".388","500","705",".709","","1151","534","325","127","","627"
"11","Arizona State","32","19","13",".594","12.11","8.75","10","8","","","","","2539","2395","","","924","2127",".434","162","481",".337","529","726",".729","","1236","516","274","87","","776"
"12","Arizona","34","27","7",".794","18.97","9.70","15","3","","","","","2599","2284","","","904","1976",".457","155","482",".322","636","871",".730","","1306","537","255","192","","496"
"13","Arkansas-Little Rock","28","4","24",".143","-12.17","-2.77","1","15","","","","","1885","2148","","","662","1493",".443","182","505",".360","379","551",".688","","851","329","151","60","","578"
"14","Arkansas-Pine Bluff","27","6","21",".222","-24.29","-10.05","5","13","","","","","1828","2164","","","667","1568",".425","95","359",".265","399","667",".598","","1152","327","277","91","",""
"15","Arkansas State","28","10","18",".357","-4.73","-0.48","7","9","","","","","2004","2123","","","714","1637",".436","191","569",".336","385","547",".704","","951","423","215","66","","552"
"16","Arkansas","34","19","15",".559","12.37","7.76","7","9","","","","","2529","2372","","","931","2168",".429","292","832",".351","375","622",".603","","1159","458","379","120","","705"
"17","Army","28","5","23",".179","-19.89","-6.43","2","10","","","","","1482","1796","","","536","1476",".363","132","429",".308","278","449",".619","","903","266","222","62","","600"
"18","Auburn","34","24","10",".706","13.59","8.20","9","7","","","","","2423","2190","","","874","2118",".413","227","695",".327","448","684",".655","","1335","438","247","110","","582"
"19","Austin Peay","28","18","10",".643","0.95","-3.29","11","7","","","","","2110","1949","","","797","1618",".493","160","438",".365","356","492",".724","","994","426","175","106","","448"
"20","Ball State","31","22","9",".710","7.84","3.17","11","7","","","","","2300","2138","","","834","1840",".453","215","538",".400","417","681",".612","","1138","428","258","131","","530"
"21","Baylor","29","14","15",".483","2.20","4.59","4","12","","","","","1933","1966","","","686","1622",".423","207","639",".324","354","550",".644","","1034","429","257","129","","492"
"22","Belmont","28","7","21",".250","-10.98","-1.39","","","","","","","1923","2107","","","633","1521",".416","273","776",".352","384","539",".712","","919","412","154","46","","538"
"23","Bethune-Cookman","29","14","15",".483","-8.85","-9.63","12","6","","","","","2186","2178","","","773","1775",".435","182","506",".360","458","686",".668","","1073","397","242","65","","676"
"24","Boise State","27","12","15",".444","0.54","0.51","6","10","","","","","1680","1679","","","597","1348",".443","129","368",".351","357","549",".650","","809","291","211","55","","537"
"25","Boston College","30","11","19",".367","4.21","5.07","3","13","","","","","2049","2075","","","725","1770",".410","165","547",".302","434","610",".711","","1069","348","279","103","","566"
"26","Boston University","29","7","22",".241","-14.27","-6.51","5","13","","","","","1758","1987","","","627","1524",".411","172","497",".346","332","483",".687","","952","358","185","65","","558"
"27","Bowling Green State","30","22","8",".733","3.34","0.79","14","4","","","","","2251","2115","","","777","1578",".492","147","403",".365","550","740",".743","","963","466","200","56","","532"
"28","Bradley","30","14","16",".467","5.25","3.88","10","8","","","","","1968","1927","","","721","1669",".432","108","361",".299","418","636",".657","","1066","400","259","87","","602"
"29","Brigham Young","33","22","11",".667","9.54","3.54","7","7","","","","","2328","2107","","","795","1725",".461","192","515",".373","546","784",".696","","1118","478","236","73","","640"
"30","Brown","27","8","19",".296","-15.14","-8.95","4","10","","","","","1837","2004","","","629","1537",".409","156","485",".322","423","615",".688","","937","383","195","57","","582"
"31","Bucknell","28","17","11",".607","-5.50","-6.76","8","4","","","","","1790","1719","","","634","1419",".447","111","346",".321","411","580",".709","","983","385","190","131","","545"
"32","Buffalo","28","5","23",".179","-14.00","1.46","3","15","","","","","1878","2311","","","636","1614",".394","170","544",".313","436","661",".660","","1000","356","197","117","","524"
"33","Butler","31","23","8",".742","12.23","0.01","12","2","","","","","2107","1728","","","753","1599",".471","153","406",".377","448","680",".659","","1054","430","237","88","","513"
"34","Cal Poly","28","10","18",".357","-5.59","-0.11","5","11","","","","","2189","2280","","","739","1655",".447","227","615",".369","484","671",".721","","966","383","150","74","","503"
"35","Cal State Fullerton","27","8","19",".296","-9.37","-1.21","3","13","","","","","1940","2104","","","700","1554",".450","163","472",".345","377","535",".705","","884","349","165","71","","495"
"36","Cal State Northridge","30","20","10",".667","4.07","0.41","10","6","","","","","2329","2208","","","858","1812",".474","202","563",".359","411","651",".631","","1110","550","277","94","","678"
"37","UC-Irvine","28","14","14",".500","-3.51","-0.77","7","9","","","","","1877","1893","","","655","1472",".445","169","483",".350","398","537",".741","","986","345","176","70","",""
"38","UC-Santa Barbara","28","14","14",".500","1.04","0.16","10","6","","","","","1869","1823","","","659","1590",".414","171","510",".335","380","551",".690","","1194","426","211","75","",""
"39","University of California","33","18","15",".545","9.65","8.62","7","11","","","","","2375","2341","","","850","1926",".441","180","528",".341","495","726",".682","","1175","469","235","89","","596"
"40","Campbell","28","12","16",".429","-13.19","-6.08","10","8","","","","","1760","1959","","","629","1450",".434","212","590",".359","290","416",".697","","876","404","168","80","","459"
"41","Canisius","30","10","20",".333","-8.87","-3.81","8","10","","","","","2189","2341","","","783","1817",".431","173","507",".341","450","648",".694","","1135","477","211","103","","618"
"42","Centenary (LA)","28","10","18",".357","-9.88","-1.61","","","","","","","1780","1924","","","618","1511",".409","153","437",".350","391","580",".674","","1000","280","152","51","","587"
"43","Central Connecticut State","31","25","6",".806","0.42","-9.55","15","3","","","","","2282","1973","","","832","1845",".451","148","416",".356","470","665",".707","","1262","451","276","156","","554"
"44","Central Florida","32","14","18",".438","-6.47","-4.85","10","8","","","","","2293","2320","","","837","1854",".451","233","586",".398","386","608",".635","","1242","473","233","119","",""
"45","Central Michigan","29","6","23",".207","-4.64","2.79","2","16","","","","","1985","2175","","","718","1635",".439","190","526",".361","359","526",".683","","913","419","178","46","","595"
